DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2019-03-01 00:00:00,9210413286,81742281350,2900
2019-03-02 00:00:00,9955783678,73996598888,2682
2019-03-03 00:00:00,13136522368,74973653229,3144
2019-03-04 00:00:00,19873868614,88198759072,3631
2019-03-05 00:00:00,8240244031,84844611462,3317
2019-03-06 00:00:00,10478841349,122087955095,3946
2019-03-07 00:00:00,10124158562,113895948713,3883
2019-03-08 00:00:00,10543637496,107874320273,3673
2019-03-09 00:00:00,16819639829,103426682792,3386
2019-03-10 00:00:00,13716117070,98893559955,2561
2019-03-11 00:00:00,11919623904,78346433971,2954
2019-03-12 00:00:00,7719439399,96640421135,3474
2019-03-13 00:00:00,9221359504,82627772028,3390
2019-03-14 00:00:00,10545944653,95431115024,3382
2019-03-15 00:00:00,10648995025,115755705684,3204
2019-03-16 00:00:00,12146308541,84133706396,2784
2019-03-17 00:00:00,22362079774,96432072082,4466
2019-03-18 00:00:00,11509307437,92074633195,3431
2019-03-19 00:00:00,20253612771,114042882025,3644
2019-03-20 00:00:00,13394212145,99176788083,3722
2019-03-21 00:00:00,19127774607,116395921429,4281
2019-03-22 00:00:00,25469963003,136383655949,5449
2019-03-23 00:00:00,25366940261,144894627008,5361
2019-03-24 00:00:00,26281791229,125090435985,4742
2019-03-25 00:00:00,9992238095,107951451634,3533
2019-03-26 00:00:00,10602805155,91108260992,2208
2019-03-27 00:00:00,14415178876,130043507349,3894
2019-03-28 00:00:00,11810823176,127717899007,3581
2019-03-29 00:00:00,17087115019,132589921469,4293
2019-03-30 00:00:00,35487461546,129376982498,5059
2019-03-31 00:00:00,34212154533,120045329549,5385
