DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2019-10-01 00:00:00,23117131446,156304737509,4006
2019-10-01 02:00:00,111732153,1130108330,38
2019-10-01 04:00:00,71159021,953823396,38
2019-10-01 06:00:00,516162853,4559865947,241
2019-10-01 08:00:00,570684208,10072367668,373
2019-10-01 10:00:00,2445168657,17128004000,481
2019-10-01 12:00:00,6266106306,24850662226,773
2019-10-01 14:00:00,5813155540,31297328438,1020
2019-10-01 16:00:00,2778441334,21322340527,950
2019-10-01 18:00:00,2585589239,17433092656,716
2019-10-01 20:00:00,1306879455,10782855579,456
2019-10-01 22:00:00,393377232,7169007388,210
2019-10-02 00:00:00,15396672392,148373809745,3182
2019-10-02 02:00:00,54906094,1123166289,51
2019-10-02 04:00:00,24861723,609972006,33
2019-10-02 06:00:00,459890223,5023662263,272
2019-10-02 08:00:00,1872834354,11874762957,376
2019-10-02 10:00:00,1297954170,12699872178,582
2019-10-02 12:00:00,3971674014,27430990264,824
2019-10-02 14:00:00,3865554087,30456720262,746
2019-10-02 16:00:00,1574567627,18343567976,464
2019-10-02 18:00:00,975080257,9074371165,314
2019-10-02 20:00:00,633708080,13954862336,256
2019-10-02 22:00:00,401993491,13359576527,181
2019-10-03 00:00:00,13137335611,139063209439,3218
2019-10-03 02:00:00,90440864,3669331729,39
2019-10-03 04:00:00,25630465,282886687,26
2019-10-03 06:00:00,596190768,5137136463,215
2019-10-03 08:00:00,1807868631,9611650413,313
2019-10-03 10:00:00,1901582702,12750382003,486
2019-10-03 12:00:00,2061920788,17420735268,634
2019-10-03 14:00:00,2299739375,21350868331,735
2019-10-03 16:00:00,1592728790,20391525922,687
2019-10-03 18:00:00,1608215473,15038919216,533
2019-10-03 20:00:00,360689911,7794094428,350
2019-10-03 22:00:00,492139862,12818390545,186
2019-10-04 00:00:00,28481999199,155065724438,4295
2019-10-04 02:00:00,64292254,1956375156,34
2019-10-04 04:00:00,42254280,1211302967,26
2019-10-04 06:00:00,484886891,4416500532,195
2019-10-04 08:00:00,1036015216,8058359332,358
2019-10-04 10:00:00,3562651787,12592642915,577
2019-10-04 12:00:00,4044660349,18935841961,914
2019-10-04 14:00:00,4534977224,16857639352,939
2019-10-04 16:00:00,4033743085,24568494921,1039
2019-10-04 18:00:00,4238639150,16865065721,692
2019-10-04 20:00:00,3212206457,21200907061,415
2019-10-04 22:00:00,871667386,13835427206,270
