DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2020-02-11 18:00:00,1009929632,12400739738,500
2020-02-11 20:00:00,341598319,7849911472,285
2020-02-11 22:00:00,252734851,6753908252,168
2020-02-12 00:00:00,9253473586,100002263795,3664
2020-02-12 02:00:00,62443805,3572569799,29
2020-02-12 04:00:00,28972440,455005205,21
2020-02-12 06:00:00,181986941,4002023207,204
2020-02-12 08:00:00,367784929,6150476667,328
2020-02-12 10:00:00,1295729671,10907948963,597
2020-02-12 12:00:00,2228566551,10628902587,806
2020-02-12 14:00:00,1159993052,9589734203,775
2020-02-12 16:00:00,1275193389,10894168540,681
2020-02-12 18:00:00,724932673,8562646682,507
2020-02-12 20:00:00,1116101979,12308634231,369
2020-02-12 22:00:00,519633742,13772234355,230
2020-02-13 00:00:00,11086419742,99332379105,4091
2020-02-13 02:00:00,62182587,1283596032,55
2020-02-13 04:00:00,38406528,1439466577,29
2020-02-13 06:00:00,225536094,4014857901,209
2020-02-13 08:00:00,831818751,7512546922,350
2020-02-13 10:00:00,1055890001,9819749705,659
2020-02-13 12:00:00,1684214768,14540594983,882
2020-02-13 14:00:00,2108811687,12198866174,903
2020-02-13 16:00:00,1548078153,10373392783,816
2020-02-13 18:00:00,1305585221,10631000050,567
2020-02-13 20:00:00,1672031670,15256607251,357
2020-02-13 22:00:00,357705996,7396643907,272
2020-02-14 00:00:00,9602573229,105338358779,4025
2020-02-14 02:00:00,96052695,2744191006,78
2020-02-14 04:00:00,40904513,778042335,48
2020-02-14 06:00:00,296276983,3901777764,247
2020-02-14 08:00:00,473782527,4204655565,338
2020-02-14 10:00:00,622631248,5853505051,411
2020-02-14 12:00:00,939850191,12424651715,694
2020-02-14 14:00:00,1028435091,12370450328,799
2020-02-14 16:00:00,2067558877,10070911692,738
2020-02-14 18:00:00,753070120,9347263228,598
2020-02-14 20:00:00,1707513614,16783418387,476
2020-02-14 22:00:00,1155284202,15550845804,417
2020-02-15 00:00:00,18268107638,119234327359,4406
2020-02-15 02:00:00,211022231,5667606739,131
2020-02-15 04:00:00,102644137,3832226614,77
2020-02-15 06:00:00,245488978,3622496464,92
2020-02-15 08:00:00,1083897993,5945505674,203
2020-02-15 10:00:00,2345590868,9563261249,646
2020-02-15 12:00:00,3344889372,16560748681,1031
2020-02-15 14:00:00,3359783706,10515300723,1004
2020-02-15 16:00:00,3000134831,10229326105,925
2020-02-15 18:00:00,2267327323,7818959793,530
2020-02-15 20:00:00,830820236,13962220908,393
2020-02-15 22:00:00,419099505,13535801177,262
2020-02-16 00:00:00,16634187202,91953204418,3929
2020-02-16 02:00:00,353115194,4681323610,118
2020-02-16 04:00:00,80250337,2716432525,64
2020-02-16 06:00:00,314295166,690427933,67
2020-02-16 08:00:00,196055628,3312685286,149
2020-02-16 10:00:00,1821028785,6286341382,399
2020-02-16 12:00:00,3344309889,13649957611,804
2020-02-16 14:00:00,3091788444,13029585178,1089
2020-02-16 16:00:00,3746063444,14765650364,797
2020-02-16 18:00:00,2374211247,8560362723,648
2020-02-16 20:00:00,595980868,7029392748,294
2020-02-16 22:00:00,231113412,2564482464,153
2020-02-17 00:00:00,11998618215,90858945989,4065
2020-02-17 02:00:00,36318497,830496264,22
2020-02-17 04:00:00,44034446,1483604697,31
2020-02-17 06:00:00,197283510,5074672212,172
2020-02-17 08:00:00,729762811,4537176217,267
2020-02-17 10:00:00,1577069054,10161529625,553
2020-02-17 12:00:00,3193325075,15725916321,906
2020-02-17 14:00:00,2731327788,10315136727,920
2020-02-17 16:00:00,1307000268,11825830993,956
2020-02-17 18:00:00,1136156085,8871407155,593
2020-02-17 20:00:00,647436859,13603274384,387
2020-02-17 22:00:00,217137194,4058354612,207
2020-02-18 00:00:00,8424769131,81668820395,3556
2020-02-18 02:00:00,50697734,1329804088,33
2020-02-18 04:00:00,68078453,1048795339,44
2020-02-18 06:00:00,144234887,3974111882,112
2020-02-18 08:00:00,347986907,5125374372,256
2020-02-18 10:00:00,1811448782,9932166673,508
2020-02-18 12:00:00,1336161184,10801682130,704
2020-02-18 14:00:00,1240356170,13679527645,763
2020-02-18 16:00:00,905595164,9894310589,685
2020-02-18 18:00:00,1424023209,8803345797,618
2020-02-18 20:00:00,619371500,7928537356,467
2020-02-18 22:00:00,309668801,5693136434,202
2020-02-19 00:00:00,9494600357,104601154441,3663
2020-02-19 02:00:00,36291431,1374407532,50
2020-02-19 04:00:00,49896097,769653847,30
2020-02-19 06:00:00,123492175,2475117337,142
2020-02-19 08:00:00,407916256,9595881409,274
2020-02-19 10:00:00,782878884,7301991080,485
2020-02-19 12:00:00,2737288577,11438504146,847
2020-02-19 14:00:00,1746598187,16335933987,816
2020-02-19 16:00:00,1370857929,11167839610,736
2020-02-19 18:00:00,562145974,8190758405,534
2020-02-19 20:00:00,619979323,11610278804,338
2020-02-19 22:00:00,595795162,13577083762,244
2020-02-20 00:00:00,9605674281,122123635966,3785
2020-02-20 02:00:00,62510530,1587478703,47
2020-02-20 04:00:00,146955166,1631107962,40
2020-02-20 06:00:00,91662414,1777779672,135
2020-02-20 08:00:00,535962216,6741178911,300
2020-02-20 10:00:00,734757512,9389181065,497
2020-02-20 12:00:00,1451080043,13663948392,667
2020-02-20 14:00:00,1549372051,16217482527,911
2020-02-20 16:00:00,2201921204,14721295237,829
2020-02-20 18:00:00,792925524,10433246714,673
2020-02-20 20:00:00,654163700,13156030738,382
2020-02-20 22:00:00,925830629,19881567693,250
2020-02-21 00:00:00,16582182475,119678050089,3634
2020-02-21 02:00:00,424078759,4204473255,58
2020-02-21 04:00:00,53062765,925747152,53
2020-02-21 06:00:00,145203496,7018785388,100
2020-02-21 08:00:00,432650994,7450973444,256
2020-02-21 10:00:00,1480050237,5900434351,329
2020-02-21 12:00:00,1446673312,9755750720,500
2020-02-21 14:00:00,3583588703,15130476041,700
2020-02-21 16:00:00,3339755459,12117946419,925
2020-02-21 18:00:00,3091433825,11567064670,648
2020-02-21 20:00:00,1277811583,12068613848,501
2020-02-21 22:00:00,660696384,17852107671,426
2020-02-22 00:00:00,18293519006,125670893468,4308
2020-02-22 02:00:00,227662380,6935127447,175
2020-02-22 04:00:00,150757033,4385023323,83
2020-02-22 06:00:00,98031554,1769456869,82
2020-02-22 08:00:00,660539234,5648786452,212
2020-02-22 10:00:00,3377825269,11920519269,558
2020-02-22 12:00:00,2988965961,12072043676,830
2020-02-22 14:00:00,3651352404,13994344892,988
2020-02-22 16:00:00,2274116162,12496660103,916
2020-02-22 18:00:00,1665174059,13794959245,588
2020-02-22 20:00:00,684788676,8976233944,455
2020-02-22 22:00:00,1666790994,15089407562,359
2020-02-23 00:00:00,12738281820,114233649738,3501
2020-02-23 02:00:00,301062087,8241727609,116
2020-02-23 04:00:00,128037951,4233892683,73
2020-02-23 06:00:00,130991163,2513192374,72
2020-02-23 08:00:00,507700214,3476923756,182
2020-02-23 10:00:00,3190923698,11222097695,514
2020-02-23 12:00:00,2351727665,8982678695,675
2020-02-23 14:00:00,1699143668,14321823337,587
2020-02-23 16:00:00,1319777296,13963107016,726
2020-02-23 18:00:00,911194176,10091625439,528
2020-02-23 20:00:00,469049730,6104055995,354
2020-02-23 22:00:00,245288174,6028135913,243
2020-02-24 00:00:00,13453742545,84247672395,3924
2020-02-24 02:00:00,17822645,319599829,18
2020-02-24 04:00:00,27199696,373996839,25
2020-02-24 06:00:00,174439744,2984272683,194
2020-02-24 08:00:00,1590088618,6683005873,318
2020-02-24 10:00:00,1340731968,11598291018,503
2020-02-24 12:00:00,2750109286,10563162940,838
2020-02-24 14:00:00,3334875989,13070003055,942
2020-02-24 16:00:00,967671516,9145434120,729
2020-02-24 18:00:00,1021562790,9474894228,544
2020-02-24 20:00:00,824614466,11736463684,445
2020-02-24 22:00:00,1213366337,5126447940,293
2020-02-25 00:00:00,14715972481,134464206528,4818
2020-02-25 02:00:00,72154426,3724880499,50
2020-02-25 04:00:00,44247829,1395407556,17
2020-02-25 06:00:00,262982037,3852446945,240
2020-02-25 08:00:00,694928657,7409879910,366
2020-02-25 10:00:00,2107306351,12803560400,669
2020-02-25 12:00:00,2974307983,16860542785,1060
2020-02-25 14:00:00,3169169153,17279201653,1136
2020-02-25 16:00:00,2107924922,15447482332,1091
2020-02-25 18:00:00,1212795923,12951419454,754
2020-02-25 20:00:00,1434100435,20486698675,523
2020-02-25 22:00:00,410095773,13396072651,260
2020-02-26 00:00:00,8546502342,131065473813,4003
2020-02-26 02:00:00,138549624,5940591919,46
2020-02-26 04:00:00,58580499,1029107559,36
2020-02-26 06:00:00,268334213,5163080566,233
2020-02-26 08:00:00,741783063,9221375034,449
2020-02-26 10:00:00,1214179734,10559697680,536
2020-02-26 12:00:00,1079610930,17117058047,660
2020-02-26 14:00:00,1326956422,13315984981,765
2020-02-26 16:00:00,993879281,10878546524,794
2020-02-26 18:00:00,1020074756,16876258887,646
2020-02-26 20:00:00,683582786,20782406665,372
2020-02-26 22:00:00,658636906,11102810961,283
2020-02-27 00:00:00,11302740416,115193510721,4017
2020-02-27 01:00:00,552580021,12763859042,273
2020-02-27 02:00:00,22267512,2050102695,50
2020-02-27 04:00:00,28472162,1106019399,26
2020-02-27 06:00:00,247980828,4308946088,209
2020-02-27 08:00:00,556127947,7807996412,292
2020-02-27 10:00:00,1325818338,16293152699,500
2020-02-27 12:00:00,1747889424,16138187519,833
2020-02-27 14:00:00,2249208346,13884092910,924
2020-02-27 16:00:00,2423857052,14795309814,903
2020-02-27 18:00:00,871636984,10110402029,555
2020-02-27 20:00:00,474590520,8475072746,359
2020-02-27 22:00:00,552580021,12763859042,291
2020-02-28 00:00:00,7245793469,82149264251,2624
2020-02-28 02:00:00,127704990,3218060404,91
2020-02-28 04:00:00,43813813,1035622693,37
2020-02-28 06:00:00,302067491,4134818760,199
2020-02-28 08:00:00,544814290,9467468852,310
2020-02-28 10:00:00,638401266,9192946598,363
2020-02-28 12:00:00,256559148,2252646013,110
2020-02-28 14:00:00,251886401,2142554071,86
2020-02-28 16:00:00,1313724231,8288081778,569
2020-02-28 18:00:00,2265057909,10640255287,551
2020-02-28 20:00:00,611910678,10885562821,466
2020-02-28 22:00:00,568426988,12039525066,335
2020-02-29 00:00:00,17112557253,106362219001,3746
2020-02-29 02:00:00,204670527,5217848257,192
2020-02-29 04:00:00,185957473,2482201763,100
2020-02-29 06:00:00,185557387,2998510837,97
2020-02-29 08:00:00,416883543,2573080940,203
2020-02-29 10:00:00,793677677,8794043304,431
2020-02-29 12:00:00,3533218420,8938786775,631
2020-02-29 14:00:00,5153022802,12769073273,738
2020-02-29 16:00:00,2113639324,9218613339,661
2020-02-29 18:00:00,2177844602,10012683473,515
2020-02-29 20:00:00,966600905,12432332342,472
2020-02-29 22:00:00,767523949,16769540584,366
