DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2019-06-01 00:00:00,50510685140,188673003135,5431
2019-06-02 00:00:00,36123285644,149769924890,4541
2019-06-03 00:00:00,28025893730,171599203066,4365
2019-06-04 00:00:00,39379721536,188359849117,4929
2019-06-05 00:00:00,32973468332,178860527567,4722
2019-06-06 00:00:00,28047997218,186027142765,4790
2019-06-07 00:00:00,31232234330,187350107378,5350
2019-06-08 00:00:00,42455449797,164711413953,5277
2019-06-09 00:00:00,35689448470,184653600753,5134
2019-06-10 00:00:00,33960829262,188263455394,4832
2019-06-11 00:00:00,26463492155,196830454605,4854
2019-06-12 00:00:00,38980204375,216696829560,5072
2019-06-13 00:00:00,41373336305,179321715797,4449
2019-06-14 00:00:00,19156161147,163374898136,4606
2019-06-15 00:00:00,47108135080,175079357552,4572
2019-06-16 00:00:00,30130092105,149607582144,4515
2019-06-17 00:00:00,28307790251,177867240780,4946
2019-06-18 00:00:00,29498076405,162401804282,4961
2019-06-19 00:00:00,25208589929,168549653119,4822
2019-06-20 00:00:00,44551440066,225131309587,5958
2019-06-21 00:00:00,39134275259,192034774082,5315
2019-06-22 00:00:00,30056996455,137866212593,4451
2019-06-23 00:00:00,26018641722,133152323036,3756
2019-06-24 00:00:00,27737531356,206148730413,4945
2019-06-25 00:00:00,25882038713,204942678370,4887
2019-06-26 00:00:00,28535521623,174353191117,5277
2019-06-27 00:00:00,27963964150,143706782960,4766
2019-06-28 00:00:00,26905299009,168130443994,4920
2019-06-29 00:00:00,27672376555,173221439294,4381
2019-06-30 00:00:00,2841971994,15480679273,512
