"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2018-09-01 00:00:00;493;1683;125;625;8653;1901;1587;237;115
2018-09-02 00:00:00;653;2438;179;819;12724;2968;2112;309;137
2018-09-03 00:00:00;709;2733;178;768;12329;2954;2192;319;138
2018-09-04 00:00:00;598;2627;160;634;11132;2522;2021;302;130
2018-09-05 00:00:00;872;3184;212;735;14754;3474;2564;431;143
2018-09-06 00:00:00;724;3436;211;776;14620;3461;2614;380;164
2018-09-07 00:00:00;775;3532;212;726;14408;3553;2616;421;171
2018-09-08 00:00:00;962;3119;243;1016;18036;4101;2894;396;110
2018-09-09 00:00:00;1082;3275;271;1125;18582;4668;3398;504;184
2018-09-10 00:00:00;773;3368;221;829;15322;3583;2550;441;194
2018-09-11 00:00:00;747;3538;211;705;14278;3492;2550;445;188
2018-09-12 00:00:00;896;3737;244;997;16597;4027;3030;464;206
2018-09-13 00:00:00;1238;3770;305;1807;21192;4972;3692;625;226
2018-09-14 00:00:00;692;3302;228;776;15259;3752;2812;508;199
2018-09-15 00:00:00;899;3294;238;848;16966;3995;2687;440;183
2018-09-16 00:00:00;873;2905;226;786;16058;3871;2656;405;157
2018-09-17 00:00:00;895;3527;255;920;16786;4211;3118;521;261
2018-09-18 00:00:00;878;3795;250;860;16300;3922;3146;566;270
2018-09-19 00:00:00;950;4042;267;947;17980;4248;3342;538;235
2018-09-20 00:00:00;1002;4254;298;1105;20586;5033;3496;562;255
2018-09-21 00:00:00;987;4318;288;1004;19438;4937;3511;589;227
2018-09-22 00:00:00;816;2979;204;929;15275;3414;2385;301;115
2018-09-23 00:00:00;682;2557;177;773;12965;2876;1994;314;133
2018-09-24 00:00:00;499;2726;138;596;9210;2216;1819;261;126
2018-09-25 00:00:00;571;2948;171;820;11274;2624;2170;354;176
2018-09-26 00:00:00;793;3127;184;891;12506;3061;2330;332;141
2018-09-27 00:00:00;818;3343;202;858;13648;3480;2516;360;164
2018-09-28 00:00:00;1227;3991;281;1154;18825;4916;3432;564;222
2018-09-29 00:00:00;1133;6446;360;1602;25551;7013;4374;483;152
2018-09-30 00:00:00;762;3099;190;872;13480;3345;2292;285;133
