"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-08-01 00:00:00;821;2573;197;750;13670;3248;2340;427;169
2019-08-02 00:00:00;874;2896;208;788;14620;3560;2454;395;145
2019-08-03 00:00:00;676;2232;158;645;11380;2695;1841;283;97
2019-08-04 00:00:00;950;2529;200;955;14583;3400;2335;379;103
2019-08-05 00:00:00;687;2574;174;684;11547;2882;1999;355;130
2019-08-06 00:00:00;773;2717;196;748;13306;3370;2424;407;166
2019-08-07 00:00:00;854;2860;204;858;14685;3371;2361;404;139
2019-08-08 00:00:00;842;2767;203;766;14315;3368;2372;398;158
2019-08-09 00:00:00;877;2921;207;765;14259;3501;2468;435;172
2019-08-10 00:00:00;805;2403;187;773;12958;3187;2244;396;134
2019-08-11 00:00:00;912;2562;216;892;15285;3508;2581;428;151
2019-08-12 00:00:00;756;2411;176;692;12235;2816;2212;368;131
2019-08-13 00:00:00;864;2622;197;871;14015;3247;2335;378;134
2019-08-14 00:00:00;862;2751;202;783;13470;3482;2518;403;179
2019-08-15 00:00:00;1117;3136;251;988;17807;4485;2810;442;192
2019-08-16 00:00:00;928;2889;216;844;14796;3829;2616;413;177
2019-08-17 00:00:00;1016;2737;240;845;16336;4172;2795;555;183
2019-08-18 00:00:00;866;2676;226;905;16704;3626;2655;418;128
2019-08-19 00:00:00;790;2716;197;820;13762;3304;2288;388;165
2019-08-20 00:00:00;710;2636;188;745;12945;2993;2240;379;179
2019-08-21 00:00:00;663;2414;164;743;11562;2564;1930;344;141
2019-08-22 00:00:00;737;2701;187;775;12471;3062;2324;445;168
2019-08-23 00:00:00;812;2825;205;710;14078;3410;2397;456;173
2019-08-24 00:00:00;761;2631;202;740;13914;3347;2359;407;193
2019-08-25 00:00:00;673;2371;167;686;11990;2775;1935;330;114
2019-08-26 00:00:00;712;2740;196;826;14253;3282;2237;344;145
2019-08-27 00:00:00;737;2795;192;744;13361;3222;2212;415;156
2019-08-28 00:00:00;709;2619;182;639;12280;3085;2276;382;147
2019-08-29 00:00:00;773;2411;195;767;13044;3437;2403;413;153
2019-08-30 00:00:00;666;2427;173;649;11649;2927;2126;392;132
2019-08-31 00:00:00;745;2682;201;762;13819;3500;2473;379;142
