"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-10-01 00:00:00;414;2617;527;746;9517;2308;1755;320;115
2019-10-02 00:00:00;358;2003;399;571;7765;1773;1356;211;92
2019-10-03 00:00:00;311;2122;419;584;7760;1815;1339;212;107
2019-10-04 00:00:00;536;2219;509;702;10023;2487;1799;233;109
2019-10-05 00:00:00;367;1231;307;444;6502;1365;1033;142;75
2019-10-06 00:00:00;465;1604;438;619;8142;1899;1438;212;123
2019-10-07 00:00:00;377;2195;450;633;7971;1989;1481;226;116
2019-10-08 00:00:00;342;2127;428;592;8028;1837;1299;221;115
2019-10-09 00:00:00;503;2347;487;687;10431;2346;1641;223;105
2019-10-10 00:00:00;483;2430;516;699;9985;2396;1682;280;112
2019-10-11 00:00:00;685;2531;583;852;11516;2847;1934;275;139
2019-10-12 00:00:00;556;1800;462;642;9541;2208;1573;208;106
2019-10-13 00:00:00;685;1833;569;795;11296;2957;1814;281;128
2019-10-14 00:00:00;515;2170;533;738;9682;2483;1640;316;120
2019-10-15 00:00:00;411;2250;462;639;8490;2162;1520;222;116
2019-10-16 00:00:00;509;2488;541;757;11243;2572;1694;268;141
2019-10-17 00:00:00;452;2553;550;726;10015;2452;1728;312;138
2019-10-18 00:00:00;642;2400;577;784;10872;2724;1858;308;135
2019-10-19 00:00:00;526;1936;509;706;9819;2483;1626;269;117
2019-10-20 00:00:00;674;2075;580;797;11961;3084;1918;298;115
2019-10-21 00:00:00;567;2741;622;847;11828;3097;2074;310;146
2019-10-22 00:00:00;544;2708;613;835;11470;2940;1977;339;134
2019-10-23 00:00:00;625;2770;628;861;12508;2912;1952;293;168
2019-10-24 00:00:00;560;2781;596;806;12294;2767;1974;326;122
2019-10-25 00:00:00;534;2708;586;763;11588;2885;1930;315;127
2019-10-26 00:00:00;720;2043;573;780;12539;3024;1823;287;121
2019-10-27 00:00:00;786;2051;610;858;14024;3460;1996;297;123
2019-10-28 00:00:00;315;2084;365;532;7055;1685;1183;194;88
2019-10-29 00:00:00;390;2509;491;680;9847;2351;1486;268;124
2019-10-30 00:00:00;290;1811;349;495;6737;1453;1131;187;82
2019-10-31 00:00:00;292;1567;325;467;6437;1429;1058;150;87
