"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2020-09-01 00:00:00;132;1174;252;367;4975;1047;723;136;74
2020-09-02 00:00:00;348;2962;610;818;12775;2781;1836;334;136
2020-09-03 00:00:00;311;2872;572;787;12710;2666;1686;303;132
2020-09-04 00:00:00;369;3222;688;912;14259;3169;2008;408;159
2020-09-05 00:00:00;437;2691;685;890;14840;3200;1979;405;154
2020-09-06 00:00:00;260;2034;464;662;9941;2084;1355;274;105
2020-09-07 00:00:00;222;2380;445;607;9198;1929;1228;259;117
2020-09-08 00:00:00;288;2949;609;818;12805;2667;1672;337;169
2020-09-09 00:00:00;327;3201;693;935;13459;3026;1976;423;180
2020-09-10 00:00:00;333;3134;677;877;13452;2894;1819;416;154
2020-09-11 00:00:00;350;3155;674;860;14019;3235;1926;376;161
2020-09-12 00:00:00;405;2551;653;882;13740;3078;1880;381;159
2020-09-13 00:00:00;287;2193;526;705;10779;2396;1535;321;120
2020-09-14 00:00:00;279;2563;537;718;10564;2322;1511;293;153
2020-09-15 00:00:00;299;2294;597;792;11853;2681;1578;375;165
2020-09-16 00:00:00;279;2942;587;786;12517;2689;1669;334;140
2020-09-17 00:00:00;235;2736;513;685;11333;2278;1535;268;125
2020-09-18 00:00:00;277;2887;579;758;12967;2606;1656;315;142
2020-09-19 00:00:00;293;2246;533;716;12011;2566;1491;304;125
2020-09-20 00:00:00;270;2053;468;632;11251;2301;1277;296;86
2020-09-21 00:00:00;291;2758;540;728;11669;2452;1508;303;139
2020-09-22 00:00:00;318;2916;592;786;12598;2776;1618;319;162
2020-09-23 00:00:00;278;2669;539;766;11478;2384;1572;300;132
2020-09-24 00:00:00;310;2849;611;832;13247;2680;1625;346;177
2020-09-25 00:00:00;157;1846;387;540;7791;1475;887;143;81
2020-09-26 00:00:00;156;1388;365;486;6465;1229;850;159;106
2020-09-27 00:00:00;185;1699;399;550;8732;1550;996;220;87
2020-09-28 00:00:00;124;1663;387;512;6403;1132;838;155;77
2020-09-29 00:00:00;135;2066;386;534;8753;1644;1038;200;98
2020-09-30 00:00:00;145;2171;367;511;9343;1559;1068;163;95
