"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-05-01 00:00:00;869;3121;210;983;14924;3774;2427;331;145
2019-05-02 00:00:00;968;4167;261;1119;18345;4473;2994;474;200
2019-05-03 00:00:00;629;3987;213;785;15948;3663;2328;306;150
2019-05-04 00:00:00;649;2863;173;652;12931;2999;1857;235;118
2019-05-05 00:00:00;183;1370;76;387;5570;976;901;140;78
2019-05-06 00:00:00;275;1731;96;495;6756;1428;1129;182;102
2019-05-07 00:00:00;378;2286;125;682;8697;1914;1502;233;123
2019-05-08 00:00:00;500;1978;135;580;8966;2218;1611;302;125
2019-05-09 00:00:00;284;1713;93;454;6148;1405;1076;219;119
2019-05-10 00:00:00;577;1983;127;561;8753;2151;1553;244;104
2019-05-11 00:00:00;548;1514;99;484;6968;1648;1188;199;65
2019-05-12 00:00:00;335;1172;87;477;5961;1310;1004;188;98
2019-05-13 00:00:00;264;1436;70;382;4862;1043;865;137;70
2019-05-14 00:00:00;230;1589;79;377;5028;1198;974;178;107
2019-05-15 00:00:00;286;1520;92;461;6405;1396;1035;185;100
2019-05-16 00:00:00;366;2099;121;537;8048;1937;1445;258;129
2019-05-17 00:00:00;467;2149;129;500;8917;2144;1505;250;117
2019-05-18 00:00:00;831;2357;188;787;13106;3282;2168;378;137
2019-05-19 00:00:00;844;2380;198;896;14740;3236;2059;352;153
2019-05-20 00:00:00;398;2548;125;617;8722;2072;1511;213;104
2019-05-21 00:00:00;447;2408;135;591;9580;2220;1626;246;113
2019-05-22 00:00:00;229;1506;82;409;5460;1219;1058;183;83
2019-05-23 00:00:00;376;2152;122;578;8484;1972;1374;254;116
2019-05-24 00:00:00;726;2958;200;799;14323;3414;2273;369;132
2019-05-25 00:00:00;713;2745;193;688;14211;3245;2182;355;114
2019-05-26 00:00:00;726;2688;201;866;15290;3386;2133;343;112
2019-05-27 00:00:00;466;2503;134;675;9594;2238;1526;250;103
2019-05-28 00:00:00;330;1943;101;494;7080;1558;1192;204;90
2019-05-29 00:00:00;413;2226;124;1016;8961;1978;1350;242;102
2019-05-30 00:00:00;255;1621;81;420;5744;1195;981;169;73
2019-05-31 00:00:00;863;2951;211;800;15063;3716;2481;366;142
