"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-12-01 00:00:00;307;1469;403;571;5560;1452;1049;215;138
2019-12-02 00:00:00;182;1969;390;540;6028;1576;1112;228;123
2019-12-03 00:00:00;256;2106;422;585;6523;1896;1281;237;118
2019-12-04 00:00:00;246;1959;398;565;6034;1528;1080;229;141
2019-12-05 00:00:00;260;1932;396;549;5829;1548;1122;234;127
2019-12-06 00:00:00;301;2030;436;606;6578;1852;1227;250;137
2019-12-07 00:00:00;513;1748;476;679;8027;2171;1507;272;126
2019-12-08 00:00:00;434;1573;425;593;6916;2024;1241;240;115
2019-12-09 00:00:00;335;2013;463;617;7316;1948;1308;256;126
2019-12-10 00:00:00;282;2101;421;603;7012;1728;1163;233;137
2019-12-11 00:00:00;243;2007;423;585;6554;1810;1182;235;127
2019-12-12 00:00:00;245;2136;488;667;7760;2089;1376;287;136
2019-12-13 00:00:00;356;2337;556;742;9247;2452;1659;303;154
2019-12-14 00:00:00;556;1986;574;780;10297;2930;1828;299;122
2019-12-15 00:00:00;451;1862;547;743;9264;2640;1760;292;132
2019-12-16 00:00:00;254;2081;471;665;7114;2024;1353;255;145
2019-12-17 00:00:00;369;2647;601;795;10388;2836;1748;352;153
2019-12-18 00:00:00;480;2742;615;852;12180;3096;1911;308;148
2019-12-19 00:00:00;428;2639;619;827;10781;3052;1880;325;154
2019-12-20 00:00:00;470;2640;657;884;11803;3298;2065;353;153
2019-12-21 00:00:00;351;1647;489;655;8281;2105;1469;306;120
2019-12-22 00:00:00;519;1717;568;785;10578;2918;1679;290;151
2019-12-23 00:00:00;210;873;207;308;4072;906;617;117;62
2019-12-24 00:00:00;231;483;160;246;3399;917;605;75;19
2019-12-25 00:00:00;289;557;182;292;4070;1079;601;68;37
2019-12-26 00:00:00;429;718;241;355;5777;1430;821;112;32
2019-12-27 00:00:00;425;922;275;398;6172;1508;842;125;63
2019-12-28 00:00:00;388;829;259;395;5324;1227;778;146;62
2019-12-29 00:00:00;440;892;262;393;5745;1350;854;131;57
2019-12-30 00:00:00;505;1124;341;485;6746;1754;1027;160;88
2019-12-31 00:00:00;690;1381;461;749;8967;2543;1585;279;69
