"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2018-12-01 00:00:00;382;2217;145;520;9665;2506;1765;312;124
2018-12-02 00:00:00;312;1819;124;513;7825;2083;1532;263;157
2018-12-03 00:00:00;249;2351;144;536;9346;2326;1649;273;194
2018-12-04 00:00:00;366;3104;179;623;11575;3073;2036;363;211
2018-12-05 00:00:00;301;3177;170;593;10577;2777;1981;383;251
2018-12-06 00:00:00;370;3136;177;599;11400;2940;2083;364;221
2018-12-07 00:00:00;424;3193;193;661;12393;3273;2254;386;266
2018-12-08 00:00:00;880;3152;245;915;16332;4582;2909;416;215
2018-12-09 00:00:00;442;2675;180;660;11879;3081;2198;321;202
2018-12-10 00:00:00;268;2818;160;583;10296;2500;1784;384;224
2018-12-11 00:00:00;182;2428;133;512;8381;1918;1560;332;205
2018-12-12 00:00:00;292;3202;171;594;11094;2837;2018;345;214
2018-12-13 00:00:00;321;2900;163;561;10338;2645;1903;343;240
2018-12-14 00:00:00;375;2908;184;585;11649;2913;2172;418;250
2018-12-15 00:00:00;460;2411;164;584;10591;2746;1917;365;194
2018-12-16 00:00:00;331;2174;154;564;9051;2599;1965;380;217
2018-12-17 00:00:00;274;2695;156;591;10007;2497;1742;320;239
2018-12-18 00:00:00;358;3093;181;752;11487;2966;2110;407;234
2018-12-19 00:00:00;276;2928;160;559;10039;2381;1880;389;239
2018-12-20 00:00:00;246;2786;157;519;10152;2413;1782;339;236
2018-12-21 00:00:00;328;2553;153;487;9912;2431;1752;310;217
2018-12-22 00:00:00;449;1944;172;612;11282;2846;1971;363;200
2018-12-23 00:00:00;421;1564;109;474;8259;1761;1179;163;71
2018-12-24 00:00:00;213;574;44;313;3185;712;542;87;27
2018-12-25 00:00:00;227;658;52;490;4168;892;530;61;27
2018-12-26 00:00:00;431;1107;81;381;5972;1402;888;119;44
2018-12-27 00:00:00;395;1610;95;417;7268;1562;1017;132;70
2018-12-28 00:00:00;508;1649;102;437;7993;1623;1103;128;58
2018-12-29 00:00:00;453;1527;96;419;7246;1549;1077;137;73
2018-12-30 00:00:00;466;1219;84;413;6494;1268;963;128;49
2018-12-31 00:00:00;752;2233;152;1185;11008;2655;1822;318;89
