"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2018-07-01 00:00:00;910;1728;178;743;13280;3027;1969;264;115
2018-07-02 00:00:00;875;2134;175;715;12519;2942;2123;295;119
2018-07-03 00:00:00;1025;2360;222;853;15869;3726;2527;385;179
2018-07-04 00:00:00;1074;2399;215;761;15427;3503;2514;368;165
2018-07-05 00:00:00;916;1991;202;831;14703;3487;2308;339;128
2018-07-06 00:00:00;993;2077;209;840;15030;3516;2425;355;148
2018-07-07 00:00:00;1178;2456;262;1027;19044;4399;3005;457;163
2018-07-08 00:00:00;1028;2518;223;908;15978;3811;2616;398;143
2018-07-09 00:00:00;1003;2346;225;845;16321;3859;2577;390;150
2018-07-10 00:00:00;886;2457;215;940;15258;3563;2458;370;180
2018-07-11 00:00:00;764;1985;168;717;11999;2694;1998;301;107
2018-07-12 00:00:00;1056;2445;233;781;16282;4009;2738;468;163
2018-07-13 00:00:00;1231;3104;287;1049;20572;4984;3290;505;201
2018-07-14 00:00:00;1215;3076;294;1755;21389;5086;3366;508;169
2018-07-15 00:00:00;956;2626;234;881;16964;4088;2703;406;130
2018-07-16 00:00:00;1069;2667;234;833;16515;3972;2793;395;176
2018-07-17 00:00:00;1020;2821;237;909;16646;3982;2924;449;149
2018-07-18 00:00:00;871;2296;197;755;13899;3256;2392;345;160
2018-07-19 00:00:00;1170;2804;276;1090;19226;4819;3180;550;188
2018-07-20 00:00:00;1232;2730;274;915;19154;4659;3331;519;194
2018-07-21 00:00:00;983;2139;230;897;16259;3682;2548;427;198
2018-07-22 00:00:00;1142;1989;243;1322;18069;4245;2731;350;128
2018-07-23 00:00:00;1039;2303;222;931;15603;3836;2639;405;164
2018-07-24 00:00:00;1147;2745;262;944;18169;4422;3192;510;174
2018-07-25 00:00:00;1174;3132;267;959;18876;4655;3092;515;175
2018-07-26 00:00:00;1042;3033;245;944;16753;4387;2982;494;167
2018-07-27 00:00:00;1208;3337;289;1142;19797;5134;3497;529;213
2018-07-28 00:00:00;1287;3075;303;1004;21033;5203;3785;593;189
2018-07-29 00:00:00;1063;2797;250;910;17698;4349;3069;467;143
2018-07-30 00:00:00;946;2937;238;815;16282;4069;2825;503;176
2018-07-31 00:00:00;1039;2970;242;784;16048;4197;3036;481;200
