"date";"location";"value"
2020-03-04 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);26
2020-03-04 00:00:00;RBNN (oblasť Rybného Námestia);19
2020-03-04 00:00:00;KNPM (oblasť Jedlíkovej ulice);3
2020-03-04 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-03-04 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2020-03-04 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2020-03-04 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);10
2020-03-04 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);12
2020-03-04 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);15
2020-03-04 00:00:00;OBCH ( oblasť Obchodná ulica stred);13
2020-03-04 00:00:00;NSLO (oblasť parku Námestia Slobody);10
2020-03-04 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);11
2020-03-04 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);2
2020-03-05 00:00:00;NSLO (oblasť parku Námestia Slobody);4
2020-03-05 00:00:00;RBNN (oblasť Rybného Námestia);33
2020-03-05 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);8
2020-03-05 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);12
2020-03-05 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);11
2020-03-05 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);14
2020-03-05 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);18
2020-03-05 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);16
2020-03-05 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-03-05 00:00:00;HURN (oblasť Hurbanovho námestia);18
2020-03-05 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);5
2020-03-05 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);25
2020-03-05 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);16
2020-03-05 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-03-05 00:00:00;NSNP (oblasť Námestia SNP);7
2020-03-05 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);11
2020-03-05 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);30
2020-03-05 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);13
2020-03-05 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);5
2020-03-05 00:00:00;OBCH ( oblasť Obchodná ulica stred);13
2020-03-06 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2020-03-06 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);13
2020-03-06 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);23
2020-03-06 00:00:00;NSLO (oblasť parku Námestia Slobody);0
2020-03-06 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);6
2020-03-06 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);16
2020-03-06 00:00:00;KNPM (oblasť Jedlíkovej ulice);2
2020-03-06 00:00:00;OBCH ( oblasť Obchodná ulica stred);10
2020-03-06 00:00:00;HURN (oblasť Hurbanovho námestia);15
2020-03-06 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);10
2020-03-06 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);6
2020-03-06 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);21
2020-03-06 00:00:00;NSNP (oblasť Námestia SNP);9
2020-03-06 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);24
2020-03-06 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);20
2020-03-06 00:00:00;RBNN (oblasť Rybného Námestia);18
2020-03-06 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);0
2020-03-06 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);28
2020-03-06 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);7
2020-03-06 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);12
2020-03-07 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);5
2020-03-07 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);17
2020-03-07 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);14
2020-03-07 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);35
2020-03-07 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);15
2020-03-07 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);49
2020-03-07 00:00:00;RBNN (oblasť Rybného Námestia);46
2020-03-07 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2020-03-07 00:00:00;OBCH ( oblasť Obchodná ulica stred);17
2020-03-07 00:00:00;HURN (oblasť Hurbanovho námestia);29
2020-03-07 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-03-07 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);39
2020-03-07 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);8
2020-03-07 00:00:00;NSLO (oblasť parku Námestia Slobody);1
2020-03-07 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);15
2020-03-07 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2020-03-07 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);17
2020-03-07 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);9
2020-03-07 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);17
2020-03-07 00:00:00;NSNP (oblasť Námestia SNP);13
2020-03-08 00:00:00;NSLO (oblasť parku Námestia Slobody);5
2020-03-08 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);14
2020-03-08 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);47
2020-03-08 00:00:00;RBNN (oblasť Rybného Námestia);44
2020-03-08 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);21
2020-03-08 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);15
2020-03-08 00:00:00;OBCH ( oblasť Obchodná ulica stred);6
2020-03-08 00:00:00;HURN (oblasť Hurbanovho námestia);35
2020-03-08 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);14
2020-03-08 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);12
2020-03-08 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);27
2020-03-08 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);30
2020-03-08 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);76
2020-03-08 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);15
2020-03-08 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-03-08 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);5
2020-03-08 00:00:00;NSNP (oblasť Námestia SNP);9
2020-03-08 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);17
2020-03-08 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);20
2020-03-08 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);26
2020-03-09 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);12
2020-03-09 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);9
2020-03-09 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);10
2020-03-09 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);13
2020-03-09 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);32
2020-03-09 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);9
2020-03-09 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-03-09 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);26
2020-03-09 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-03-09 00:00:00;NSNP (oblasť Námestia SNP);5
