"date";"location";"value"
2020-06-01 00:00:00;RBNN (oblasť Rybného Námestia);6
2020-06-01 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);5
2020-06-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);8
2020-06-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);13
2020-06-01 00:00:00;HURN (oblasť Hurbanovho námestia);2
2020-06-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);3
2020-06-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);7
2020-06-01 00:00:00;OBCH ( oblasť Obchodná ulica stred);7
2020-06-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);3
2020-06-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-06-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);4
2020-06-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-06-01 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);9
2020-06-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);2
2020-06-01 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-06-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);12
2020-06-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);7
2020-06-01 00:00:00;NSNP (oblasť Námestia SNP);7
2020-06-01 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);3
2020-06-01 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-06-02 00:00:00;NSNP (oblasť Námestia SNP);1
2020-06-02 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);5
2020-06-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);10
2020-06-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);2
2020-06-02 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-06-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);3
2020-06-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);8
2020-06-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);0
2020-06-02 00:00:00;OBCH ( oblasť Obchodná ulica stred);5
2020-06-02 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);7
2020-06-02 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);4
2020-06-02 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-06-02 00:00:00;RBNN (oblasť Rybného Námestia);5
2020-06-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);4
2020-06-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);3
2020-06-02 00:00:00;HURN (oblasť Hurbanovho námestia);6
2020-06-02 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);5
2020-06-02 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);5
2020-06-02 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2020-06-03 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);0
2020-06-03 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);3
2020-06-03 00:00:00;HURN (oblasť Hurbanovho námestia);8
2020-06-03 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);6
2020-06-03 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-06-03 00:00:00;OBCH ( oblasť Obchodná ulica stred);2
2020-06-03 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);5
2020-06-03 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);6
2020-06-03 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);14
2020-06-03 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);4
2020-06-03 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);7
2020-06-03 00:00:00;NSNP (oblasť Námestia SNP);2
2020-06-03 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);7
2020-06-03 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-06-03 00:00:00;RBNN (oblasť Rybného Námestia);8
2020-06-03 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);1
2020-06-03 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);6
2020-06-03 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2020-06-03 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-06-03 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);13
2020-06-04 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);9
2020-06-04 00:00:00;RBNN (oblasť Rybného Námestia);7
2020-06-04 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);3
2020-06-04 00:00:00;HURN (oblasť Hurbanovho námestia);5
2020-06-04 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-06-04 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);10
2020-06-04 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);4
2020-06-04 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-06-04 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);7
2020-06-04 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);6
2020-06-04 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);4
2020-06-04 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);12
2020-06-04 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);7
2020-06-04 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-06-04 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);7
2020-06-04 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);8
2020-06-04 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);8
2020-06-04 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);6
2020-06-04 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-06-04 00:00:00;NSNP (oblasť Námestia SNP);4
2020-06-05 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);6
2020-06-05 00:00:00;RBNN (oblasť Rybného Námestia);8
2020-06-05 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-06-05 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);4
2020-06-05 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);3
2020-06-05 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);8
2020-06-05 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);7
2020-06-05 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);15
2020-06-05 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);7
2020-06-05 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);6
2020-06-05 00:00:00;KNPM (oblasť Jedlíkovej ulice);3
2020-06-05 00:00:00;NSNP (oblasť Námestia SNP);6
2020-06-05 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);1
2020-06-05 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);8
2020-06-05 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);8
2020-06-05 00:00:00;HURN (oblasť Hurbanovho námestia);8
2020-06-05 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-06-05 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);2
2020-06-05 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);0
2020-06-05 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2020-06-06 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);9
2020-06-06 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);16
2020-06-06 00:00:00;RBNN (oblasť Rybného Námestia);6
2020-06-06 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);13
2020-06-06 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);8
2020-06-06 00:00:00;NSLO (oblasť parku Námestia Slobody);7
2020-06-06 00:00:00;NSNP (oblasť Námestia SNP);3
2020-06-06 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);25
2020-06-06 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);7
2020-06-06 00:00:00;HURN (oblasť Hurbanovho námestia);10
2020-06-06 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);8
2020-06-06 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);19
2020-06-06 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-06-06 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2020-06-06 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);22
2020-06-06 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);2
2020-06-06 00:00:00;OBCH ( oblasť Obchodná ulica stred);6
2020-06-06 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2020-06-06 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);13
2020-06-06 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);8
2020-06-07 00:00:00;HURN (oblasť Hurbanovho námestia);6
2020-06-07 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);9
2020-06-07 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);3
2020-06-07 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-06-07 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);13
2020-06-07 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);10
2020-06-07 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-06-07 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);6
2020-06-07 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);6
2020-06-07 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);15
2020-06-07 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);3
2020-06-07 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);9
2020-06-07 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);4
2020-06-07 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);15
2020-06-07 00:00:00;NSLO (oblasť parku Námestia Slobody);0
2020-06-07 00:00:00;RBNN (oblasť Rybného Námestia);8
2020-06-07 00:00:00;NSNP (oblasť Námestia SNP);5
2020-06-07 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);1
2020-06-07 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);8
2020-06-07 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);7
2020-06-08 00:00:00;RBNN (oblasť Rybného Námestia);11
2020-06-08 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);2
2020-06-08 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);6
2020-06-08 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-06-08 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);4
2020-06-08 00:00:00;NSNP (oblasť Námestia SNP);1
2020-06-08 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);3
2020-06-08 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);4
2020-06-08 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);10
2020-06-08 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2020-06-08 00:00:00;OBCH ( oblasť Obchodná ulica stred);8
2020-06-08 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);7
2020-06-08 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);7
2020-06-08 00:00:00;HURN (oblasť Hurbanovho námestia);5
2020-06-08 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);4
2020-06-08 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);3
2020-06-08 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);8
