"date";"location";"value"
2019-08-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);5108
2019-08-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);4191
2019-08-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);3118
2019-08-01 00:00:00;RBNN (oblasť Rybného Námestia);2649
2019-08-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);2281
2019-08-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);1806
2019-08-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);1448
2019-08-01 00:00:00;Ostatné;4348
