"date";"location";"value"
2019-03-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);1968
2019-03-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);1648
2019-03-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);1386
2019-03-01 00:00:00;RBNN (oblasť Rybného Námestia);1191
2019-03-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);1048
2019-03-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);1004
2019-03-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);989
2019-03-01 00:00:00;Ostatné;2765
