"date";"location";"value"
2019-09-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);4192
2019-09-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);3052
2019-09-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);2220
2019-09-01 00:00:00;RBNN (oblasť Rybného Námestia);1812
2019-09-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);1726
2019-09-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);1394
2019-09-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);1066
2019-09-01 00:00:00;Ostatné;3803
