"date";"location";"value"
2020-01-01 00:00:00;RBNN (oblasť Rybného Námestia);81
2020-01-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);65
2020-01-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);46
2020-01-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);22
2020-01-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);137
2020-01-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);55
2020-01-01 00:00:00;NSLO (oblasť parku Námestia Slobody);0
2020-01-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);5
2020-01-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);11
2020-01-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);32
2020-01-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);18
2020-01-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);39
2020-01-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);12
2020-01-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);49
2020-01-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);4
2020-01-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);80
2020-01-02 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);17
2020-01-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);64
2020-01-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);13
2020-01-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);25
2020-01-02 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);26
2020-01-02 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);27
2020-01-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);25
2020-01-02 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);13
2020-01-02 00:00:00;RBNN (oblasť Rybného Námestia);46
2020-01-02 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-01-03 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);21
2020-01-03 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);26
2020-01-03 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);12
2020-01-03 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);19
2020-01-03 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);34
2020-01-03 00:00:00;RBNN (oblasť Rybného Námestia);48
2020-01-03 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);4
2020-01-03 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);19
2020-01-03 00:00:00;NSLO (oblasť parku Námestia Slobody);1
2020-01-03 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);50
2020-01-03 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);54
2020-01-03 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);5
2020-01-03 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-01-04 00:00:00;NSLO (oblasť parku Námestia Slobody);1
2020-01-04 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);22
2020-01-04 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);18
2020-01-04 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);4
2020-01-04 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);63
2020-01-04 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);33
2020-01-04 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);10
2020-01-04 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);8
2020-01-04 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);78
2020-01-04 00:00:00;RBNN (oblasť Rybného Námestia);56
2020-01-04 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);34
2020-01-04 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);17
2020-01-04 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);42
2020-01-05 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);51
2020-01-05 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);18
2020-01-05 00:00:00;RBNN (oblasť Rybného Námestia);42
2020-01-05 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);45
2020-01-05 00:00:00;NSLO (oblasť parku Námestia Slobody);6
2020-01-05 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);20
2020-01-05 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);17
2020-01-05 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);21
2020-01-05 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);15
2020-01-05 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2020-01-05 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);11
2020-01-05 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);2
2020-01-05 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);15
2020-01-06 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);16
2020-01-06 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);18
2020-01-06 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-01-06 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);61
2020-01-06 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);24
2020-01-06 00:00:00;RBNN (oblasť Rybného Námestia);37
2020-01-06 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);48
2020-01-06 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);11
2020-01-06 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);18
2020-01-06 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);23
2020-01-06 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);6
2020-01-06 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);0
2020-01-06 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2020-01-07 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);18
2020-01-07 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2020-01-07 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);14
2020-01-07 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);10
2020-01-07 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);8
2020-01-07 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);24
2020-01-07 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);9
2020-01-07 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);24
2020-01-07 00:00:00;RBNN (oblasť Rybného Námestia);21
2020-01-07 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);17
2020-01-07 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);4
2020-01-07 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-01-07 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);3
2020-01-08 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);18
2020-01-08 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);20
2020-01-08 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);21
2020-01-08 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);19
2020-01-08 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);10
2020-01-08 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);14
