"date";"location";"value"
2018-09-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);4623
2018-09-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);4208
2018-09-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);2672
2018-09-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);2240
2018-09-01 00:00:00;RBNN (oblasť Rybného Námestia);2145
2018-09-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);1655
2018-09-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);1524
2018-09-01 00:00:00;Ostatné;5927
