"date";"type";"name";"value"
2019-09-01 00:00:00;device_type;Nan;1744
2019-09-01 00:00:00;device_type;mobile;443
2019-09-01 00:00:00;os;Android;1537
2019-09-01 00:00:00;os;Windows;18
2019-09-01 00:00:00;os;iOS;546
2019-09-01 00:00:00;os;others;5
2019-09-01 00:00:00;lang;de;64
2019-09-01 00:00:00;lang;en;294
2019-09-01 00:00:00;lang;es;30
2019-09-01 00:00:00;lang;fr;18
2019-09-01 00:00:00;lang;it;10
2019-09-01 00:00:00;lang;nl;2
2019-09-01 00:00:00;lang;ru;25
2019-09-01 00:00:00;lang;sk;839
2019-09-01 00:00:00;browser;Android;2
2019-09-01 00:00:00;browser;Chrome;1454
2019-09-01 00:00:00;browser;Safari;546
2019-09-01 00:00:00;browser;others;14
2019-09-02 00:00:00;device_type;Nan;1194
2019-09-02 00:00:00;device_type;mobile;297
2019-09-02 00:00:00;os;Android;850
2019-09-02 00:00:00;os;iOS;452
2019-09-02 00:00:00;lang;en;214
2019-09-02 00:00:00;lang;es;13
2019-09-02 00:00:00;lang;sk;415
2019-09-02 00:00:00;browser;Chrome;831
2019-09-02 00:00:00;browser;Safari;452
2019-09-03 00:00:00;device_type;Nan;867
2019-09-03 00:00:00;device_type;mobile;197
2019-09-03 00:00:00;os;Android;769
2019-09-03 00:00:00;os;iOS;400
2019-09-03 00:00:00;os;others;1
2019-09-03 00:00:00;lang;fr;2
2019-09-03 00:00:00;lang;id;4
2019-09-03 00:00:00;lang;sk;615
2019-09-03 00:00:00;browser;Chrome;769
2019-09-03 00:00:00;browser;Safari;399
2019-09-04 00:00:00;device_type;Nan;1399
2019-09-04 00:00:00;device_type;mobile;62
2019-09-04 00:00:00;os;Android;907
2019-09-04 00:00:00;os;Nan;1
2019-09-04 00:00:00;os;iOS;511
2019-09-04 00:00:00;lang;en;250
2019-09-04 00:00:00;lang;ru;22
2019-09-04 00:00:00;lang;sk;582
2019-09-04 00:00:00;browser;Chrome;895
2019-09-04 00:00:00;browser;Nan;1
2019-09-04 00:00:00;browser;Safari;511
2019-09-05 00:00:00;device_type;Nan;1423
2019-09-05 00:00:00;device_type;mobile;439
2019-09-05 00:00:00;os;Android;1204
2019-09-05 00:00:00;os;iOS;417
2019-09-05 00:00:00;lang;en;310
2019-09-05 00:00:00;lang;sk;555
2019-09-05 00:00:00;lang;uk;6
2019-09-05 00:00:00;browser;Chrome;1199
2019-09-05 00:00:00;browser;Safari;418
2019-09-06 00:00:00;device_type;Nan;1477
2019-09-06 00:00:00;device_type;mobile;321
2019-09-06 00:00:00;os;Android;1181
2019-09-06 00:00:00;os;iOS;501
2019-09-06 00:00:00;lang;en;352
2019-09-06 00:00:00;lang;ru;26
2019-09-06 00:00:00;lang;sk;771
2019-09-06 00:00:00;browser;Chrome;1175
2019-09-06 00:00:00;browser;Safari;501
2019-09-07 00:00:00;device_type;Nan;1001
2019-09-07 00:00:00;device_type;tablet;1
2019-09-07 00:00:00;os;Android;628
2019-09-07 00:00:00;os;OS X;3
2019-09-07 00:00:00;os;Windows;10
2019-09-07 00:00:00;os;iOS;337
2019-09-07 00:00:00;lang;en;354
2019-09-07 00:00:00;lang;es;5
2019-09-07 00:00:00;lang;hr;4
2019-09-07 00:00:00;lang;it;8
2019-09-07 00:00:00;lang;sk;462
2019-09-07 00:00:00;lang;uk;10
2019-09-07 00:00:00;browser;Chrome;615
2019-09-07 00:00:00;browser;Firefox;3
2019-09-07 00:00:00;browser;Safari;337
2019-09-07 00:00:00;browser;others;9
2019-09-08 00:00:00;device_type;Nan;1170
2019-09-08 00:00:00;device_type;mobile;187
2019-09-08 00:00:00;os;Android;1021
2019-09-08 00:00:00;os;Windows;17
2019-09-08 00:00:00;os;iOS;166
2019-09-08 00:00:00;lang;en;192
2019-09-08 00:00:00;lang;it;5
2019-09-08 00:00:00;lang;sk;512
2019-09-08 00:00:00;lang;tr;17
2019-09-08 00:00:00;browser;Android;1
2019-09-08 00:00:00;browser;Chrome;876
2019-09-08 00:00:00;browser;Opera;7
2019-09-08 00:00:00;browser;Safari;166
2019-09-08 00:00:00;browser;others;17
2019-09-09 00:00:00;device_type;Nan;439
2019-09-09 00:00:00;os;Android;390
2019-09-09 00:00:00;lang;es;11
2019-09-09 00:00:00;lang;ru;20
2019-09-09 00:00:00;lang;sk;269
2019-09-09 00:00:00;browser;Chrome;396
2019-09-10 00:00:00;device_type;Nan;1556
2019-09-10 00:00:00;os;Android;721
2019-09-10 00:00:00;os;OS X;3
2019-09-10 00:00:00;os;iOS;390
2019-09-10 00:00:00;lang;en;317
2019-09-10 00:00:00;lang;sk;685
2019-09-10 00:00:00;browser;Chrome;717
2019-09-10 00:00:00;browser;Firefox;5
2019-09-10 00:00:00;browser;Safari;391
2019-09-11 00:00:00;device_type;Nan;1662
2019-09-11 00:00:00;os;Android;1061
2019-09-11 00:00:00;os;Nan;1
2019-09-11 00:00:00;os;iOS;207
2019-09-11 00:00:00;os;others;1
2019-09-11 00:00:00;lang;de;1
2019-09-11 00:00:00;lang;en;158
2019-09-11 00:00:00;lang;sk;954
2019-09-11 00:00:00;lang;tr;10
2019-09-11 00:00:00;browser;Chrome;1197
2019-09-11 00:00:00;browser;Nan;1
2019-09-11 00:00:00;browser;Safari;209
2019-09-12 00:00:00;device_type;Nan;1509
2019-09-12 00:00:00;device_type;mobile;75
2019-09-12 00:00:00;os;Android;1450
2019-09-12 00:00:00;os;Nan;1
2019-09-12 00:00:00;os;iOS;328
2019-09-12 00:00:00;os;others;1
2019-09-12 00:00:00;lang;en;280
2019-09-12 00:00:00;lang;ru;23
2019-09-12 00:00:00;lang;sk;971
2019-09-12 00:00:00;browser;Chrome;1442
2019-09-12 00:00:00;browser;Nan;1
2019-09-12 00:00:00;browser;Safari;328
2019-09-13 00:00:00;device_type;Nan;1541
2019-09-13 00:00:00;os;Android;1350
2019-09-13 00:00:00;os;Nan;1
2019-09-13 00:00:00;lang;en;353
2019-09-13 00:00:00;lang;sk;991
2019-09-13 00:00:00;browser;Chrome;1352
2019-09-13 00:00:00;browser;Nan;1
2019-09-14 00:00:00;device_type;Nan;1990
2019-09-14 00:00:00;device_type;mobile;343
2019-09-14 00:00:00;os;Android;1613
2019-09-14 00:00:00;os;iOS;659
2019-09-14 00:00:00;lang;ar;3
2019-09-14 00:00:00;lang;el;4
2019-09-14 00:00:00;lang;en;401
2019-09-14 00:00:00;lang;fr;7
2019-09-14 00:00:00;lang;ru;71
2019-09-14 00:00:00;lang;sk;858
2019-09-14 00:00:00;lang;tr;3
2019-09-14 00:00:00;browser;Chrome;1610
2019-09-14 00:00:00;browser;Safari;659
2019-09-15 00:00:00;device_type;Nan;1481
2019-09-15 00:00:00;device_type;mobile;397
2019-09-15 00:00:00;os;Android;1202
2019-09-15 00:00:00;os;OS X;2
2019-09-15 00:00:00;os;iOS;459
2019-09-15 00:00:00;lang;cs;7
2019-09-15 00:00:00;lang;de;64
2019-09-15 00:00:00;lang;en;98
2019-09-15 00:00:00;lang;ru;54
2019-09-15 00:00:00;lang;sk;707
2019-09-15 00:00:00;lang;uk;4
2019-09-15 00:00:00;browser;Chrome;1196
2019-09-15 00:00:00;browser;Firefox;6
2019-09-15 00:00:00;browser;Safari;459
2019-09-16 00:00:00;device_type;Nan;897
2019-09-16 00:00:00;device_type;mobile;339
2019-09-16 00:00:00;os;Android;668
2019-09-16 00:00:00;os;Nan;1
2019-09-16 00:00:00;os;iOS;445
2019-09-16 00:00:00;lang;en;217
2019-09-16 00:00:00;lang;hu;3
2019-09-16 00:00:00;lang;ru;29
2019-09-16 00:00:00;lang;sk;404
2019-09-16 00:00:00;browser;Chrome;658
2019-09-16 00:00:00;browser;Nan;1
2019-09-16 00:00:00;browser;Safari;446
2019-09-17 00:00:00;device_type;Nan;951
2019-09-17 00:00:00;os;Android;632
2019-09-17 00:00:00;os;Windows;10
2019-09-17 00:00:00;os;iOS;92
2019-09-17 00:00:00;lang;en;139
2019-09-17 00:00:00;lang;ro;1
2019-09-17 00:00:00;lang;sk;528
2019-09-17 00:00:00;browser;Chrome;625
2019-09-17 00:00:00;browser;Safari;92
2019-09-18 00:00:00;device_type;Nan;1258
2019-09-18 00:00:00;device_type;mobile;165
2019-09-18 00:00:00;os;Android;892
2019-09-18 00:00:00;os;iOS;198
2019-09-18 00:00:00;lang;en;95
2019-09-18 00:00:00;lang;ru;22
2019-09-18 00:00:00;lang;sk;982
2019-09-18 00:00:00;browser;Chrome;890
2019-09-18 00:00:00;browser;Safari;198
2019-09-19 00:00:00;device_type;Nan;1288
2019-09-19 00:00:00;os;Android;1170
2019-09-19 00:00:00;os;iOS;148
2019-09-19 00:00:00;lang;en;233
2019-09-19 00:00:00;lang;sk;482
2019-09-19 00:00:00;lang;sr;6
2019-09-19 00:00:00;lang;tr;6
2019-09-19 00:00:00;browser;Chrome;1174
2019-09-19 00:00:00;browser;Safari;148
2019-09-20 00:00:00;device_type;Nan;2176
2019-09-20 00:00:00;device_type;mobile;112
2019-09-20 00:00:00;os;Android;1755
2019-09-20 00:00:00;os;OS X;11
2019-09-20 00:00:00;os;Windows;14
2019-09-20 00:00:00;os;iOS;247
2019-09-20 00:00:00;lang;en;340
2019-09-20 00:00:00;lang;sk;1324
2019-09-20 00:00:00;browser;Chrome;1745
2019-09-20 00:00:00;browser;Firefox;12
2019-09-20 00:00:00;browser;Safari;248
2019-09-21 00:00:00;device_type;Nan;1513
2019-09-21 00:00:00;device_type;mobile;254
2019-09-21 00:00:00;os;Android;1017
2019-09-21 00:00:00;os;Nan;1
2019-09-21 00:00:00;os;Windows;19
2019-09-21 00:00:00;os;iOS;612
2019-09-21 00:00:00;lang;ar;3
2019-09-21 00:00:00;lang;de;20
2019-09-21 00:00:00;lang;en;393
2019-09-21 00:00:00;lang;pl;3
2019-09-21 00:00:00;lang;ru;61
2019-09-21 00:00:00;lang;sk;664
2019-09-21 00:00:00;lang;uk;6
2019-09-21 00:00:00;browser;Android;3
2019-09-21 00:00:00;browser;Chrome;1010
2019-09-21 00:00:00;browser;Nan;1
2019-09-21 00:00:00;browser;Safari;613
2019-09-21 00:00:00;browser;others;15
2019-09-22 00:00:00;device_type;Nan;1331
2019-09-22 00:00:00;device_type;mobile;447
2019-09-22 00:00:00;os;Android;1303
2019-09-22 00:00:00;os;OS X;1
2019-09-22 00:00:00;os;Windows;10
2019-09-22 00:00:00;os;iOS;613
2019-09-22 00:00:00;lang;cs;5
2019-09-22 00:00:00;lang;en;238
2019-09-22 00:00:00;lang;fr;10
2019-09-22 00:00:00;lang;sk;795
2019-09-22 00:00:00;browser;Android;4
2019-09-22 00:00:00;browser;Chrome;1285
2019-09-22 00:00:00;browser;Firefox;2
2019-09-22 00:00:00;browser;Safari;615
2019-09-23 00:00:00;device_type;Nan;1613
2019-09-23 00:00:00;device_type;mobile;212
2019-09-23 00:00:00;os;Android;333
2019-09-23 00:00:00;os;Windows;10
2019-09-23 00:00:00;os;iOS;509
2019-09-23 00:00:00;lang;en;319
2019-09-23 00:00:00;lang;sk;764
2019-09-23 00:00:00;browser;Chrome;555
2019-09-23 00:00:00;browser;Safari;509
2019-09-24 00:00:00;device_type;Nan;1749
2019-09-24 00:00:00;device_type;mobile;284
2019-09-24 00:00:00;os;Android;1471
2019-09-24 00:00:00;os;Nan;1
2019-09-24 00:00:00;os;Windows;33
2019-09-24 00:00:00;os;iOS;270
2019-09-24 00:00:00;lang;en;29
2019-09-24 00:00:00;lang;es;4
2019-09-24 00:00:00;lang;sk;1119
2019-09-24 00:00:00;browser;Chrome;1459
2019-09-24 00:00:00;browser;Nan;1
2019-09-24 00:00:00;browser;Opera;6
2019-09-24 00:00:00;browser;Safari;270
2019-09-24 00:00:00;browser;others;31
2019-09-25 00:00:00;device_type;Nan;1697
2019-09-25 00:00:00;device_type;desktop;4
2019-09-25 00:00:00;device_type;mobile;342
2019-09-25 00:00:00;os;Android;1083
2019-09-25 00:00:00;os;OS X;7
2019-09-25 00:00:00;os;Windows;54
2019-09-25 00:00:00;os;iOS;268
2019-09-25 00:00:00;lang;cs;10
2019-09-25 00:00:00;lang;en;363
2019-09-25 00:00:00;lang;fr;8
2019-09-25 00:00:00;lang;hu;1
2019-09-25 00:00:00;lang;sk;1236
2019-09-25 00:00:00;browser;Chrome;1081
2019-09-25 00:00:00;browser;Firefox;10
2019-09-25 00:00:00;browser;IE;1
2019-09-25 00:00:00;browser;Opera;7
2019-09-25 00:00:00;browser;Safari;268
2019-09-25 00:00:00;browser;others;35
2019-09-26 00:00:00;device_type;Nan;1991
2019-09-26 00:00:00;device_type;mobile;321
2019-09-26 00:00:00;os;Android;1370
2019-09-26 00:00:00;os;Nan;1
2019-09-26 00:00:00;os;iOS;311
2019-09-26 00:00:00;lang;en;114
2019-09-26 00:00:00;lang;es;7
2019-09-26 00:00:00;lang;sk;1428
2019-09-26 00:00:00;browser;Chrome;1364
2019-09-26 00:00:00;browser;Nan;1
2019-09-26 00:00:00;browser;Safari;312
2019-09-27 00:00:00;device_type;Nan;1472
2019-09-27 00:00:00;device_type;mobile;119
2019-09-27 00:00:00;os;Android;1232
2019-09-27 00:00:00;os;iOS;319
2019-09-27 00:00:00;lang;en;328
2019-09-27 00:00:00;lang;hr;2
2019-09-27 00:00:00;lang;sk;994
2019-09-27 00:00:00;browser;Chrome;1219
2019-09-27 00:00:00;browser;Safari;319
2019-09-28 00:00:00;device_type;Nan;2344
2019-09-28 00:00:00;device_type;mobile;795
2019-09-28 00:00:00;os;Android;1507
2019-09-28 00:00:00;os;Windows;9
2019-09-28 00:00:00;os;iOS;1172
2019-09-28 00:00:00;os;others;3
2019-09-28 00:00:00;lang;de;19
2019-09-28 00:00:00;lang;en;664
2019-09-28 00:00:00;lang;fr;8
2019-09-28 00:00:00;lang;it;11
2019-09-28 00:00:00;lang;pt;14
2019-09-28 00:00:00;lang;ru;111
2019-09-28 00:00:00;lang;sk;1431
2019-09-28 00:00:00;lang;sr;2
2019-09-28 00:00:00;browser;Chrome;1722
