"date";"type";"name";"value"
2020-11-01 00:00:00;device_type;mobile;47
2020-11-01 00:00:00;device_type;Nan;6
2020-11-01 00:00:00;device_type;desktop;1
2020-11-01 00:00:00;device_type;tablet;1
2020-11-01 00:00:00;os;Android;28
2020-11-01 00:00:00;os;iOS;22
2020-11-01 00:00:00;os;Windows;4
2020-11-01 00:00:00;os;others;1
2020-11-01 00:00:00;browser;Chrome;30
2020-11-01 00:00:00;browser;Safari;22
2020-11-01 00:00:00;browser;Android;1
2020-11-01 00:00:00;browser;others;2
2020-11-01 00:00:00;lang;sk;35
2020-11-01 00:00:00;lang;uk;2
2020-11-01 00:00:00;lang;ru;3
2020-11-01 00:00:00;lang;en;10
2020-11-01 00:00:00;lang;hu;1
2020-11-01 00:00:00;lang;es;2
2020-11-01 00:00:00;lang;zh;1
2020-11-01 00:00:00;lang;bg;1
2020-11-02 00:00:00;device_type;mobile;55
2020-11-02 00:00:00;device_type;Nan;5
2020-11-02 00:00:00;os;iOS;24
2020-11-02 00:00:00;os;Android;34
2020-11-02 00:00:00;os;OS X;1
2020-11-02 00:00:00;os;Windows;1
2020-11-02 00:00:00;browser;Safari;24
2020-11-02 00:00:00;browser;Chrome;34
2020-11-02 00:00:00;browser;Firefox;1
2020-11-02 00:00:00;browser;others;1
2020-11-02 00:00:00;lang;sk;36
2020-11-02 00:00:00;lang;en;13
2020-11-02 00:00:00;lang;ru;4
2020-11-02 00:00:00;lang;ja;1
2020-11-02 00:00:00;lang;sr;1
2020-11-02 00:00:00;lang;fr;1
2020-11-02 00:00:00;lang;es;1
2020-11-02 00:00:00;lang;uk;2
2020-11-02 00:00:00;lang;de;1
2020-11-03 00:00:00;device_type;mobile;67
2020-11-03 00:00:00;device_type;desktop;3
2020-11-03 00:00:00;device_type;Nan;3
2020-11-03 00:00:00;os;iOS;31
2020-11-03 00:00:00;os;Android;38
2020-11-03 00:00:00;os;Windows;3
2020-11-03 00:00:00;os;OS X;1
2020-11-03 00:00:00;browser;Safari;31
2020-11-03 00:00:00;browser;Chrome;39
2020-11-03 00:00:00;browser;Opera;1
2020-11-03 00:00:00;browser;Firefox;1
2020-11-03 00:00:00;browser;others;1
2020-11-03 00:00:00;lang;sk;42
2020-11-03 00:00:00;lang;uk;1
2020-11-03 00:00:00;lang;ru;5
2020-11-03 00:00:00;lang;en;15
2020-11-03 00:00:00;lang;fr;1
2020-11-03 00:00:00;lang;de;1
2020-11-03 00:00:00;lang;tr;1
2020-11-03 00:00:00;lang;cs;2
2020-11-03 00:00:00;lang;vi;2
2020-11-03 00:00:00;lang;it;1
2020-11-03 00:00:00;lang;es;2
2020-11-04 00:00:00;device_type;mobile;48
2020-11-04 00:00:00;device_type;desktop;3
2020-11-04 00:00:00;device_type;Nan;4
2020-11-04 00:00:00;device_type;tablet;1
2020-11-04 00:00:00;os;Android;34
2020-11-04 00:00:00;os;iOS;18
2020-11-04 00:00:00;os;Windows;3
2020-11-04 00:00:00;os;OS X;1
2020-11-04 00:00:00;browser;Chrome;34
2020-11-04 00:00:00;browser;Safari;18
2020-11-04 00:00:00;browser;Firefox;3
2020-11-04 00:00:00;browser;others;1
2020-11-04 00:00:00;lang;uk;1
2020-11-04 00:00:00;lang;sk;37
2020-11-04 00:00:00;lang;en;12
2020-11-04 00:00:00;lang;cs;2
2020-11-04 00:00:00;lang;ru;1
2020-11-04 00:00:00;lang;es;1
2020-11-04 00:00:00;lang;ar;1
2020-11-04 00:00:00;lang;bs;1
2020-11-05 00:00:00;device_type;mobile;57
2020-11-05 00:00:00;device_type;Nan;3
2020-11-05 00:00:00;device_type;desktop;4
2020-11-05 00:00:00;device_type;tablet;1
2020-11-05 00:00:00;os;Android;20
2020-11-05 00:00:00;os;iOS;40
2020-11-05 00:00:00;os;Windows;4
2020-11-05 00:00:00;os;OS X;1
2020-11-05 00:00:00;browser;Chrome;23
2020-11-05 00:00:00;browser;Safari;40
2020-11-05 00:00:00;browser;Firefox;1
2020-11-05 00:00:00;browser;others;1
2020-11-05 00:00:00;lang;ru;5
2020-11-05 00:00:00;lang;en;16
2020-11-05 00:00:00;lang;sk;36
2020-11-05 00:00:00;lang;nl;1
2020-11-05 00:00:00;lang;pl;1
2020-11-05 00:00:00;lang;uk;2
2020-11-05 00:00:00;lang;de;2
2020-11-05 00:00:00;lang;hu;1
2020-11-05 00:00:00;lang;cs;1
2020-11-06 00:00:00;device_type;mobile;86
2020-11-06 00:00:00;device_type;desktop;3
2020-11-06 00:00:00;device_type;Nan;6
2020-11-06 00:00:00;os;iOS;49
2020-11-06 00:00:00;os;Android;41
2020-11-06 00:00:00;os;Windows;4
2020-11-06 00:00:00;os;OS X;1
2020-11-06 00:00:00;browser;Safari;49
2020-11-06 00:00:00;browser;Chrome;42
2020-11-06 00:00:00;browser;Opera;1
2020-11-06 00:00:00;browser;others;2
2020-11-06 00:00:00;browser;Firefox;1
2020-11-06 00:00:00;lang;sk;59
2020-11-06 00:00:00;lang;ru;5
2020-11-06 00:00:00;lang;zh;1
2020-11-06 00:00:00;lang;en;19
2020-11-06 00:00:00;lang;uk;2
2020-11-06 00:00:00;lang;fa;1
2020-11-06 00:00:00;lang;fr;2
2020-11-06 00:00:00;lang;de;2
2020-11-06 00:00:00;lang;th;3
2020-11-06 00:00:00;lang;it;1
2020-11-07 00:00:00;device_type;mobile;75
2020-11-07 00:00:00;device_type;Nan;4
2020-11-07 00:00:00;device_type;tablet;1
2020-11-07 00:00:00;device_type;desktop;1
2020-11-07 00:00:00;os;Android;41
2020-11-07 00:00:00;os;iOS;36
2020-11-07 00:00:00;os;Windows;1
2020-11-07 00:00:00;os;others;1
2020-11-07 00:00:00;os;Linux;1
2020-11-07 00:00:00;os;OS X;1
2020-11-07 00:00:00;browser;Chrome;43
2020-11-07 00:00:00;browser;Safari;36
2020-11-07 00:00:00;browser;Firefox;2
2020-11-07 00:00:00;lang;sk;45
2020-11-07 00:00:00;lang;en;20
2020-11-07 00:00:00;lang;ru;5
2020-11-07 00:00:00;lang;sr;1
2020-11-07 00:00:00;lang;es;1
2020-11-07 00:00:00;lang;da;1
2020-11-07 00:00:00;lang;de;2
2020-11-07 00:00:00;lang;cs;2
2020-11-07 00:00:00;lang;uk;2
2020-11-07 00:00:00;lang;hr;1
2020-11-07 00:00:00;lang;it;1
2020-11-08 00:00:00;device_type;mobile;66
2020-11-08 00:00:00;device_type;Nan;5
2020-11-08 00:00:00;device_type;tablet;1
2020-11-08 00:00:00;device_type;desktop;1
2020-11-08 00:00:00;os;Android;38
2020-11-08 00:00:00;os;Linux;1
2020-11-08 00:00:00;os;others;1
2020-11-08 00:00:00;os;iOS;32
2020-11-08 00:00:00;os;OS X;1
2020-11-08 00:00:00;browser;Chrome;38
2020-11-08 00:00:00;browser;Safari;32
2020-11-08 00:00:00;browser;Firefox;1
2020-11-08 00:00:00;browser;Opera;1
2020-11-08 00:00:00;browser;Android;1
2020-11-08 00:00:00;lang;vi;1
2020-11-08 00:00:00;lang;sk;28
2020-11-08 00:00:00;lang;en;21
2020-11-08 00:00:00;lang;ru;10
2020-11-08 00:00:00;lang;uk;2
2020-11-08 00:00:00;lang;sr;2
2020-11-08 00:00:00;lang;fr;4
2020-11-08 00:00:00;lang;hu;2
2020-11-08 00:00:00;lang;sq;2
2020-11-08 00:00:00;lang;es;1
2020-11-09 00:00:00;device_type;mobile;54
2020-11-09 00:00:00;device_type;desktop;3
2020-11-09 00:00:00;device_type;Nan;4
2020-11-09 00:00:00;os;iOS;25
2020-11-09 00:00:00;os;Android;32
2020-11-09 00:00:00;os;OS X;2
2020-11-09 00:00:00;os;Windows;2
2020-11-09 00:00:00;browser;Safari;25
2020-11-09 00:00:00;browser;Chrome;32
2020-11-09 00:00:00;browser;Firefox;2
2020-11-09 00:00:00;browser;Android;1
2020-11-09 00:00:00;browser;others;1
2020-11-09 00:00:00;lang;en;13
2020-11-09 00:00:00;lang;sk;43
2020-11-09 00:00:00;lang;ru;3
2020-11-09 00:00:00;lang;de;1
2020-11-09 00:00:00;lang;sr;1
2020-11-10 00:00:00;device_type;mobile;48
2020-11-10 00:00:00;device_type;desktop;1
2020-11-10 00:00:00;device_type;tablet;1
2020-11-10 00:00:00;device_type;Nan;3
2020-11-10 00:00:00;os;Android;28
2020-11-10 00:00:00;os;iOS;22
2020-11-10 00:00:00;os;OS X;1
2020-11-10 00:00:00;os;others;1
2020-11-10 00:00:00;os;Windows;1
2020-11-10 00:00:00;browser;Chrome;29
2020-11-10 00:00:00;browser;Safari;22
2020-11-10 00:00:00;browser;Firefox;1
2020-11-10 00:00:00;browser;others;1
2020-11-10 00:00:00;lang;sk;41
2020-11-10 00:00:00;lang;ru;4
2020-11-10 00:00:00;lang;en;7
2020-11-10 00:00:00;lang;th;1
2020-11-11 00:00:00;device_type;mobile;39
2020-11-11 00:00:00;device_type;tablet;1
2020-11-11 00:00:00;device_type;Nan;7
2020-11-11 00:00:00;os;Android;23
2020-11-11 00:00:00;os;iOS;21
2020-11-11 00:00:00;os;Windows;3
2020-11-11 00:00:00;browser;Chrome;23
2020-11-11 00:00:00;browser;Safari;21
2020-11-11 00:00:00;browser;others;2
2020-11-11 00:00:00;browser;Opera;1
2020-11-11 00:00:00;lang;ru;7
2020-11-11 00:00:00;lang;sk;27
2020-11-11 00:00:00;lang;en;8
2020-11-11 00:00:00;lang;vi;1
2020-11-11 00:00:00;lang;fr;1
2020-11-11 00:00:00;lang;uk;1
2020-11-11 00:00:00;lang;hu;1
2020-11-11 00:00:00;lang;ar;1
2020-11-12 00:00:00;device_type;mobile;51
2020-11-12 00:00:00;device_type;Nan;2
