"date";"type";"name";"value"
2019-06-01 00:00:00;device_type;Nan;1493
2019-06-01 00:00:00;device_type;mobile;598
2019-06-01 00:00:00;os;Android;1327
2019-06-01 00:00:00;os;iOS;821
2019-06-01 00:00:00;lang;cs;10
2019-06-01 00:00:00;lang;de;23
2019-06-01 00:00:00;lang;en;613
2019-06-01 00:00:00;lang;fr;15
2019-06-01 00:00:00;lang;it;9
2019-06-01 00:00:00;lang;pt;32
2019-06-01 00:00:00;lang;ru;39
2019-06-01 00:00:00;lang;sk;603
2019-06-01 00:00:00;browser;Chrome;1298
2019-06-01 00:00:00;browser;Safari;823
2019-06-02 00:00:00;device_type;Nan;1155
2019-06-02 00:00:00;device_type;mobile;489
2019-06-02 00:00:00;os;Android;1261
2019-06-02 00:00:00;os;iOS;674
2019-06-02 00:00:00;lang;en;327
2019-06-02 00:00:00;lang;es;13
2019-06-02 00:00:00;lang;fr;12
2019-06-02 00:00:00;lang;it;10
2019-06-02 00:00:00;lang;ru;49
2019-06-02 00:00:00;lang;sk;771
2019-06-02 00:00:00;browser;Chrome;1238
2019-06-02 00:00:00;browser;Opera;6
2019-06-02 00:00:00;browser;Safari;675
2019-06-03 00:00:00;device_type;Nan;1260
2019-06-03 00:00:00;device_type;mobile;389
2019-06-03 00:00:00;os;Android;1216
2019-06-03 00:00:00;os;OS X;4
2019-06-03 00:00:00;os;iOS;379
2019-06-03 00:00:00;lang;en;295
2019-06-03 00:00:00;lang;it;3
2019-06-03 00:00:00;lang;ru;33
2019-06-03 00:00:00;lang;sk;1207
2019-06-03 00:00:00;browser;Chrome;1198
2019-06-03 00:00:00;browser;Firefox;4
2019-06-03 00:00:00;browser;Opera;8
2019-06-03 00:00:00;browser;Safari;379
2019-06-03 00:00:00;browser;others;3
2019-06-04 00:00:00;device_type;Nan;1807
2019-06-04 00:00:00;device_type;mobile;372
2019-06-04 00:00:00;os;Android;1399
2019-06-04 00:00:00;os;Windows;20
2019-06-04 00:00:00;os;iOS;329
2019-06-04 00:00:00;lang;en;409
2019-06-04 00:00:00;lang;pt;10
2019-06-04 00:00:00;lang;ru;24
2019-06-04 00:00:00;lang;sk;935
2019-06-04 00:00:00;browser;Android;3
