"date";"type";"name";"value"
2018-07-01 00:00:00;device_type;Nan;86
2018-07-01 00:00:00;device_type;desktop;3
2018-07-01 00:00:00;device_type;mobile;1696
2018-07-01 00:00:00;os;Android;485
2018-07-01 00:00:00;os;Windows;6
2018-07-01 00:00:00;os;iOS;619
2018-07-01 00:00:00;lang;de;33
2018-07-01 00:00:00;lang;el;5
2018-07-01 00:00:00;lang;en;324
2018-07-01 00:00:00;lang;es;5
2018-07-01 00:00:00;lang;sk;378
2018-07-01 00:00:00;lang;sv;3
2018-07-01 00:00:00;browser;Chrome;667
2018-07-01 00:00:00;browser;Safari;619
2018-07-02 00:00:00;device_type;Nan;147
2018-07-02 00:00:00;device_type;mobile;1745
2018-07-02 00:00:00;device_type;tablet;4
2018-07-02 00:00:00;os;Android;1220
2018-07-02 00:00:00;os;OS X;5
2018-07-02 00:00:00;os;iOS;93
2018-07-02 00:00:00;os;others;5
2018-07-02 00:00:00;lang;en;508
2018-07-02 00:00:00;lang;es;14
2018-07-02 00:00:00;lang;fr;2
2018-07-02 00:00:00;lang;it;7
2018-07-02 00:00:00;lang;pl;3
2018-07-02 00:00:00;lang;ru;13
2018-07-02 00:00:00;lang;sk;589
2018-07-02 00:00:00;browser;Chrome;1327
2018-07-02 00:00:00;browser;Safari;93
2018-07-03 00:00:00;device_type;Nan;228
2018-07-03 00:00:00;device_type;desktop;9
2018-07-03 00:00:00;device_type;mobile;885
2018-07-03 00:00:00;os;Android;626
2018-07-03 00:00:00;os;Windows;9
2018-07-03 00:00:00;os;iOS;257
2018-07-03 00:00:00;lang;en;481
2018-07-03 00:00:00;lang;es;13
2018-07-03 00:00:00;lang;sk;586
2018-07-03 00:00:00;browser;Chrome;840
2018-07-03 00:00:00;browser;Safari;257
2018-07-04 00:00:00;device_type;Nan;275
2018-07-04 00:00:00;device_type;mobile;1634
2018-07-04 00:00:00;device_type;tablet;11
2018-07-04 00:00:00;os;Android;1042
2018-07-04 00:00:00;os;Windows;4
2018-07-04 00:00:00;os;iOS;472
2018-07-04 00:00:00;os;others;7
2018-07-04 00:00:00;lang;de;28
2018-07-04 00:00:00;lang;en;600
2018-07-04 00:00:00;lang;es;33
2018-07-04 00:00:00;lang;sk;466
2018-07-04 00:00:00;browser;Chrome;1301
2018-07-04 00:00:00;browser;Safari;473
2018-07-05 00:00:00;device_type;Nan;46
2018-07-05 00:00:00;device_type;desktop;4
2018-07-05 00:00:00;device_type;mobile;1831
2018-07-05 00:00:00;os;Android;764
2018-07-05 00:00:00;os;Nan;1
2018-07-05 00:00:00;os;OS X;2
2018-07-05 00:00:00;os;iOS;625
2018-07-05 00:00:00;lang;en;591
2018-07-05 00:00:00;lang;sk;456
2018-07-05 00:00:00;browser;Chrome;689
2018-07-05 00:00:00;browser;Firefox;3
2018-07-05 00:00:00;browser;Nan;1
2018-07-05 00:00:00;browser;Opera;10
2018-07-05 00:00:00;browser;Safari;625
2018-07-06 00:00:00;device_type;Nan;183
2018-07-06 00:00:00;device_type;mobile;1122
2018-07-06 00:00:00;os;Android;671
2018-07-06 00:00:00;os;Nan;4
2018-07-06 00:00:00;os;iOS;537
2018-07-06 00:00:00;lang;en;557
2018-07-06 00:00:00;lang;sk;407
2018-07-06 00:00:00;lang;tr;9
2018-07-06 00:00:00;browser;Chrome;647
2018-07-06 00:00:00;browser;Nan;4
2018-07-06 00:00:00;browser;Safari;538
2018-07-07 00:00:00;device_type;Nan;196
2018-07-07 00:00:00;device_type;desktop;3
2018-07-07 00:00:00;device_type;mobile;2008
2018-07-07 00:00:00;device_type;tablet;6
2018-07-07 00:00:00;os;Android;870
2018-07-07 00:00:00;os;Windows;2
2018-07-07 00:00:00;os;iOS;838
2018-07-07 00:00:00;os;others;2
2018-07-07 00:00:00;lang;cs;10
2018-07-07 00:00:00;lang;en;678
2018-07-07 00:00:00;lang;sk;548
2018-07-07 00:00:00;browser;Chrome;1081
2018-07-07 00:00:00;browser;Safari;839
2018-07-08 00:00:00;device_type;Nan;291
2018-07-08 00:00:00;device_type;desktop;2
2018-07-08 00:00:00;device_type;mobile;2420
2018-07-08 00:00:00;os;Android;1332
2018-07-08 00:00:00;os;Windows;4
2018-07-08 00:00:00;os;iOS;982
2018-07-08 00:00:00;lang;cs;6
2018-07-08 00:00:00;lang;el;3
2018-07-08 00:00:00;lang;en;927
2018-07-08 00:00:00;lang;fr;3
2018-07-08 00:00:00;lang;ru;32
2018-07-08 00:00:00;lang;sk;590
2018-07-08 00:00:00;lang;tr;7
2018-07-08 00:00:00;browser;Chrome;1523
2018-07-08 00:00:00;browser;Safari;982
2018-07-09 00:00:00;device_type;Nan;252
2018-07-09 00:00:00;device_type;desktop;5
2018-07-09 00:00:00;device_type;mobile;2089
2018-07-09 00:00:00;os;Android;755
2018-07-09 00:00:00;os;Linux;1
2018-07-09 00:00:00;os;Nan;1
2018-07-09 00:00:00;os;iOS;940
2018-07-09 00:00:00;lang;ar;21
2018-07-09 00:00:00;lang;en;684
2018-07-09 00:00:00;lang;es;10
2018-07-09 00:00:00;lang;ru;30
2018-07-09 00:00:00;lang;sk;747
2018-07-09 00:00:00;browser;Chrome;856
2018-07-09 00:00:00;browser;Nan;1
2018-07-09 00:00:00;browser;Safari;940
2018-07-10 00:00:00;device_type;Nan;314
2018-07-10 00:00:00;device_type;desktop;5
2018-07-10 00:00:00;device_type;mobile;1953
2018-07-10 00:00:00;os;Android;1119
2018-07-10 00:00:00;os;Windows;5
2018-07-10 00:00:00;os;iOS;544
2018-07-10 00:00:00;lang;en;635
2018-07-10 00:00:00;lang;fi;2
2018-07-10 00:00:00;lang;it;5
2018-07-10 00:00:00;lang;ja;1
2018-07-10 00:00:00;lang;sk;515
2018-07-10 00:00:00;lang;tr;56
2018-07-10 00:00:00;browser;Chrome;1104
2018-07-10 00:00:00;browser;Safari;545
2018-07-11 00:00:00;device_type;Nan;283
2018-07-11 00:00:00;device_type;mobile;1152
2018-07-11 00:00:00;device_type;tablet;5
2018-07-11 00:00:00;os;Android;924
2018-07-11 00:00:00;os;iOS;349
2018-07-11 00:00:00;os;others;3
2018-07-11 00:00:00;lang;en;367
2018-07-11 00:00:00;lang;sk;732
2018-07-11 00:00:00;browser;Chrome;902
2018-07-11 00:00:00;browser;Safari;349
2018-07-12 00:00:00;device_type;Nan;75
2018-07-12 00:00:00;device_type;mobile;1642
2018-07-12 00:00:00;os;Android;1083
2018-07-12 00:00:00;os;iOS;514
2018-07-12 00:00:00;lang;en;491
2018-07-12 00:00:00;lang;ru;13
2018-07-12 00:00:00;lang;sk;533
2018-07-12 00:00:00;browser;Chrome;1058
2018-07-12 00:00:00;browser;Safari;514
2018-07-13 00:00:00;device_type;Nan;91
2018-07-13 00:00:00;device_type;mobile;2416
2018-07-13 00:00:00;os;Android;1164
2018-07-13 00:00:00;os;iOS;740
2018-07-13 00:00:00;lang;cs;3
2018-07-13 00:00:00;lang;en;275
2018-07-13 00:00:00;lang;es;8
2018-07-13 00:00:00;lang;ru;16
2018-07-13 00:00:00;lang;sk;871
2018-07-13 00:00:00;lang;tr;15
2018-07-13 00:00:00;lang;uk;3
2018-07-13 00:00:00;browser;Chrome;1132
2018-07-13 00:00:00;browser;Opera;7
2018-07-13 00:00:00;browser;Safari;742
2018-07-14 00:00:00;device_type;Nan;334
2018-07-14 00:00:00;device_type;mobile;2843
2018-07-14 00:00:00;device_type;tablet;2
2018-07-14 00:00:00;os;Android;2068
2018-07-14 00:00:00;os;Nan;2
2018-07-14 00:00:00;os;iOS;1025
2018-07-14 00:00:00;os;others;2
2018-07-14 00:00:00;lang;ar;5
2018-07-14 00:00:00;lang;bg;1
2018-07-14 00:00:00;lang;en;1049
2018-07-14 00:00:00;lang;hu;4
2018-07-14 00:00:00;lang;it;3
2018-07-14 00:00:00;lang;ru;18
2018-07-14 00:00:00;lang;sk;1194
2018-07-14 00:00:00;lang;sr;4
2018-07-14 00:00:00;lang;uk;4
2018-07-14 00:00:00;browser;Chrome;1995
2018-07-14 00:00:00;browser;Nan;2
2018-07-14 00:00:00;browser;Opera;10
2018-07-14 00:00:00;browser;Safari;1028
2018-07-15 00:00:00;device_type;Nan;381
2018-07-15 00:00:00;device_type;mobile;2271
2018-07-15 00:00:00;device_type;tablet;7
2018-07-15 00:00:00;os;Android;1348
2018-07-15 00:00:00;os;Windows;6
2018-07-15 00:00:00;os;iOS;853
2018-07-15 00:00:00;lang;ar;8
2018-07-15 00:00:00;lang;de;28
2018-07-15 00:00:00;lang;en;840
2018-07-15 00:00:00;lang;es;24
2018-07-15 00:00:00;lang;ru;34
2018-07-15 00:00:00;lang;sk;722
2018-07-15 00:00:00;lang;sr;2
2018-07-15 00:00:00;lang;tr;29
2018-07-15 00:00:00;browser;Chrome;1299
2018-07-15 00:00:00;browser;Opera;17
2018-07-15 00:00:00;browser;Safari;854
2018-07-15 00:00:00;browser;others;2
2018-07-16 00:00:00;device_type;Nan;76
2018-07-16 00:00:00;device_type;mobile;941
2018-07-16 00:00:00;os;Android;170
2018-07-16 00:00:00;os;iOS;412
2018-07-16 00:00:00;lang;et;1
2018-07-16 00:00:00;lang;he;9
2018-07-16 00:00:00;lang;sk;364
2018-07-16 00:00:00;lang;tr;38
2018-07-16 00:00:00;browser;Chrome;161
2018-07-16 00:00:00;browser;Safari;412
2018-07-17 00:00:00;device_type;Nan;332
2018-07-17 00:00:00;device_type;mobile;2173
2018-07-17 00:00:00;os;Android;1386
2018-07-17 00:00:00;os;iOS;979
2018-07-17 00:00:00;os;others;1
2018-07-17 00:00:00;lang;ar;8
2018-07-17 00:00:00;lang;en;676
2018-07-17 00:00:00;lang;es;24
2018-07-17 00:00:00;lang;hu;2
2018-07-17 00:00:00;lang;ru;10
2018-07-17 00:00:00;lang;sk;443
2018-07-17 00:00:00;lang;tr;83
2018-07-17 00:00:00;lang;uk;6
2018-07-17 00:00:00;browser;Android;3
2018-07-17 00:00:00;browser;Chrome;1373
2018-07-17 00:00:00;browser;Opera;5
2018-07-17 00:00:00;browser;Safari;980
2018-07-18 00:00:00;device_type;Nan;218
2018-07-18 00:00:00;device_type;desktop;6
2018-07-18 00:00:00;device_type;mobile;1958
2018-07-18 00:00:00;device_type;tablet;1
2018-07-18 00:00:00;os;Android;1138
2018-07-18 00:00:00;os;Windows;6
2018-07-18 00:00:00;os;iOS;406
2018-07-18 00:00:00;os;others;1
2018-07-18 00:00:00;lang;de;16
2018-07-18 00:00:00;lang;en;630
2018-07-18 00:00:00;lang;he;9
2018-07-18 00:00:00;lang;nl;9
2018-07-18 00:00:00;lang;ru;31
2018-07-18 00:00:00;lang;sk;512
2018-07-18 00:00:00;lang;sr;4
2018-07-18 00:00:00;lang;tr;7
2018-07-18 00:00:00;browser;Android;4
2018-07-18 00:00:00;browser;Chrome;1227
2018-07-18 00:00:00;browser;Opera;17
2018-07-18 00:00:00;browser;Safari;406
2018-07-19 00:00:00;device_type;desktop;9
2018-07-19 00:00:00;device_type;mobile;2711
2018-07-19 00:00:00;os;Android;1335
2018-07-19 00:00:00;os;Windows;7
2018-07-19 00:00:00;os;iOS;876
2018-07-19 00:00:00;lang;en;817
2018-07-19 00:00:00;lang;sk;714
2018-07-19 00:00:00;browser;Chrome;1307
2018-07-19 00:00:00;browser;Safari;878
2018-07-20 00:00:00;device_type;Nan;151
2018-07-20 00:00:00;device_type;mobile;2828
2018-07-20 00:00:00;os;Android;1128
2018-07-20 00:00:00;os;Windows;8
2018-07-20 00:00:00;os;iOS;1182
2018-07-20 00:00:00;lang;en;916
2018-07-20 00:00:00;lang;es;9
2018-07-20 00:00:00;lang;ru;37
2018-07-20 00:00:00;lang;sk;773
2018-07-20 00:00:00;lang;tr;18
2018-07-20 00:00:00;browser;Chrome;1335
2018-07-20 00:00:00;browser;Opera;5
2018-07-20 00:00:00;browser;Safari;1183
2018-07-21 00:00:00;device_type;Nan;364
2018-07-21 00:00:00;device_type;mobile;2519
2018-07-21 00:00:00;os;Android;1381
2018-07-21 00:00:00;os;Windows;2
2018-07-21 00:00:00;os;iOS;705
2018-07-21 00:00:00;os;others;8
2018-07-21 00:00:00;lang;cs;8
2018-07-21 00:00:00;lang;da;2
2018-07-21 00:00:00;lang;de;21
2018-07-21 00:00:00;lang;el;4
2018-07-21 00:00:00;lang;en;819
2018-07-21 00:00:00;lang;ru;23
2018-07-21 00:00:00;lang;sk;610
2018-07-21 00:00:00;lang;sr;3
2018-07-21 00:00:00;lang;sv;1
2018-07-21 00:00:00;lang;uk;5
2018-07-21 00:00:00;browser;Chrome;1352
2018-07-21 00:00:00;browser;Opera;5
2018-07-21 00:00:00;browser;Safari;705
2018-07-22 00:00:00;device_type;Nan;174
2018-07-22 00:00:00;device_type;mobile;2025
2018-07-22 00:00:00;os;Android;1228
