"date";"type";"name";"value"
2020-06-01 00:00:00;device_type;mobile;100
2020-06-01 00:00:00;device_type;Nan;3
2020-06-01 00:00:00;device_type;desktop;4
2020-06-01 00:00:00;os;Android;61
2020-06-01 00:00:00;os;iOS;40
2020-06-01 00:00:00;os;Windows;4
2020-06-01 00:00:00;os;OS X;2
2020-06-01 00:00:00;browser;Chrome;64
2020-06-01 00:00:00;browser;Safari;40
2020-06-01 00:00:00;browser;Firefox;2
2020-06-01 00:00:00;browser;Android;1
2020-06-01 00:00:00;lang;sk;72
2020-06-01 00:00:00;lang;en;21
2020-06-01 00:00:00;lang;hu;2
2020-06-01 00:00:00;lang;ru;4
2020-06-01 00:00:00;lang;fr;1
2020-06-01 00:00:00;lang;es;1
2020-06-01 00:00:00;lang;ja;1
2020-06-01 00:00:00;lang;tr;1
2020-06-01 00:00:00;lang;th;1
2020-06-01 00:00:00;lang;cs;1
2020-06-01 00:00:00;lang;sr;1
2020-06-01 00:00:00;lang;hr;1
2020-06-02 00:00:00;device_type;mobile;72
2020-06-02 00:00:00;device_type;desktop;3
2020-06-02 00:00:00;device_type;Nan;3
2020-06-02 00:00:00;os;Android;42
2020-06-02 00:00:00;os;iOS;32
2020-06-02 00:00:00;os;Windows;2
2020-06-02 00:00:00;os;OS X;2
2020-06-02 00:00:00;browser;Chrome;43
2020-06-02 00:00:00;browser;Safari;32
2020-06-02 00:00:00;browser;Firefox;2
2020-06-02 00:00:00;browser;others;1
2020-06-02 00:00:00;lang;sk;52
2020-06-02 00:00:00;lang;en;19
2020-06-02 00:00:00;lang;cs;3
2020-06-02 00:00:00;lang;uk;1
2020-06-02 00:00:00;lang;it;1
2020-06-02 00:00:00;lang;sr;1
2020-06-02 00:00:00;lang;th;1
2020-06-03 00:00:00;device_type;Nan;10
2020-06-03 00:00:00;device_type;mobile;89
2020-06-03 00:00:00;device_type;desktop;5
2020-06-03 00:00:00;device_type;tablet;1
2020-06-03 00:00:00;os;Windows;7
2020-06-03 00:00:00;os;Android;58
2020-06-03 00:00:00;os;OS X;3
2020-06-03 00:00:00;os;iOS;37
2020-06-03 00:00:00;browser;others;1
2020-06-03 00:00:00;browser;Chrome;62
2020-06-03 00:00:00;browser;Firefox;5
2020-06-03 00:00:00;browser;Safari;37
2020-06-03 00:00:00;lang;en;19
2020-06-03 00:00:00;lang;sk;73
2020-06-03 00:00:00;lang;cs;4
2020-06-03 00:00:00;lang;pl;1
2020-06-03 00:00:00;lang;ru;3
2020-06-03 00:00:00;lang;es;1
2020-06-03 00:00:00;lang;hu;1
2020-06-03 00:00:00;lang;ja;1
2020-06-03 00:00:00;lang;th;1
2020-06-03 00:00:00;lang;el;1
2020-06-04 00:00:00;device_type;mobile;107
2020-06-04 00:00:00;device_type;Nan;2
2020-06-04 00:00:00;device_type;desktop;5
2020-06-04 00:00:00;device_type;tablet;1
2020-06-04 00:00:00;os;Android;75
2020-06-04 00:00:00;os;iOS;35
2020-06-04 00:00:00;os;Windows;3
2020-06-04 00:00:00;os;OS X;2
2020-06-04 00:00:00;browser;Chrome;78
2020-06-04 00:00:00;browser;Safari;35
2020-06-04 00:00:00;browser;Firefox;2
2020-06-04 00:00:00;lang;sk;88
2020-06-04 00:00:00;lang;ru;1
2020-06-04 00:00:00;lang;en;19
2020-06-04 00:00:00;lang;hu;3
2020-06-04 00:00:00;lang;cs;1
2020-06-04 00:00:00;lang;sr;1
2020-06-04 00:00:00;lang;ro;1
2020-06-04 00:00:00;lang;th;1
2020-06-05 00:00:00;device_type;mobile;102
2020-06-05 00:00:00;device_type;desktop;3
2020-06-05 00:00:00;device_type;Nan;1
2020-06-05 00:00:00;os;iOS;39
2020-06-05 00:00:00;os;Android;64
2020-06-05 00:00:00;os;Windows;2
2020-06-05 00:00:00;os;OS X;1
2020-06-05 00:00:00;browser;Safari;39
2020-06-05 00:00:00;browser;Chrome;66
2020-06-05 00:00:00;browser;Firefox;1
2020-06-05 00:00:00;lang;ru;4
2020-06-05 00:00:00;lang;de;2
2020-06-05 00:00:00;lang;sk;78
2020-06-05 00:00:00;lang;en;16
2020-06-05 00:00:00;lang;sr;1
2020-06-05 00:00:00;lang;uk;2
2020-06-05 00:00:00;lang;cs;1
2020-06-05 00:00:00;lang;es;1
2020-06-05 00:00:00;lang;bs;1
2020-06-06 00:00:00;device_type;mobile;183
2020-06-06 00:00:00;device_type;tablet;1
2020-06-06 00:00:00;device_type;Nan;7
2020-06-06 00:00:00;os;Android;98
2020-06-06 00:00:00;os;iOS;89
2020-06-06 00:00:00;os;others;1
2020-06-06 00:00:00;os;OS X;2
2020-06-06 00:00:00;os;Windows;1
2020-06-06 00:00:00;browser;Chrome;100
2020-06-06 00:00:00;browser;Safari;89
2020-06-06 00:00:00;browser;Opera;1
2020-06-06 00:00:00;browser;others;1
2020-06-06 00:00:00;lang;sk;111
2020-06-06 00:00:00;lang;en;36
2020-06-06 00:00:00;lang;cs;3
2020-06-06 00:00:00;lang;ro;1
2020-06-06 00:00:00;lang;ru;9
2020-06-06 00:00:00;lang;hu;6
2020-06-06 00:00:00;lang;sr;5
2020-06-06 00:00:00;lang;ar;2
2020-06-06 00:00:00;lang;uk;1
2020-06-06 00:00:00;lang;pl;2
2020-06-06 00:00:00;lang;de;5
2020-06-06 00:00:00;lang;mk;1
2020-06-06 00:00:00;lang;es;3
2020-06-06 00:00:00;lang;nb;1
2020-06-06 00:00:00;lang;zh;1
2020-06-06 00:00:00;lang;vi;2
2020-06-06 00:00:00;lang;fr;1
2020-06-06 00:00:00;lang;it;1
2020-06-07 00:00:00;device_type;mobile;126
2020-06-07 00:00:00;device_type;Nan;2
2020-06-07 00:00:00;device_type;tablet;2
2020-06-07 00:00:00;device_type;desktop;2
2020-06-07 00:00:00;os;iOS;58
