"date";"location";"value"
2020-09-04 00:00:00;Tyršák;38
2020-09-04 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);13
2020-09-04 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);14
2020-09-04 00:00:00;NSNP (oblasť Námestia SNP);13
2020-09-04 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);26
2020-09-04 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);11
2020-09-04 00:00:00;HURN (oblasť Hurbanovho námestia);16
2020-09-04 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);37
2020-09-04 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);48
2020-09-04 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);6
2020-09-04 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);42
2020-09-04 00:00:00;OBCH ( oblasť Obchodná ulica stred);10
2020-09-04 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-09-04 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);12
2020-09-04 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);6
2020-09-04 00:00:00;KNPM (oblasť Jedlíkovej ulice);4
2020-09-04 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2020-09-04 00:00:00;CTUR;0
2020-09-05 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);35
2020-09-05 00:00:00;Tyršák;47
2020-09-05 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);24
2020-09-05 00:00:00;RBNN (oblasť Rybného Námestia);11
2020-09-05 00:00:00;HURN (oblasť Hurbanovho námestia);22
2020-09-05 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);50
2020-09-05 00:00:00;KNPM (oblasť Jedlíkovej ulice);4
2020-09-05 00:00:00;NSLO (oblasť parku Námestia Slobody);8
2020-09-05 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);25
2020-09-05 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);47
2020-09-05 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);43
2020-09-05 00:00:00;OBCH ( oblasť Obchodná ulica stred);9
2020-09-05 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);8
2020-09-05 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);23
2020-09-05 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);5
2020-09-05 00:00:00;CTUR;0
2020-09-05 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);9
2020-09-05 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);5
2020-09-05 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);24
2020-09-05 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);8
2020-09-05 00:00:00;NSNP (oblasť Námestia SNP);20
2020-09-05 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);10
2020-09-06 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);22
2020-09-06 00:00:00;RBNN (oblasť Rybného Námestia);10
2020-09-06 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);16
2020-09-06 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);3
2020-09-06 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);7
2020-09-06 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);26
2020-09-06 00:00:00;NSNP (oblasť Námestia SNP);10
2020-09-06 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);13
2020-09-06 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);5
2020-09-06 00:00:00;Tyršák;19
2020-09-06 00:00:00;CTUR;0
2020-09-06 00:00:00;HURN (oblasť Hurbanovho námestia);11
2020-09-06 00:00:00;KNPM (oblasť Jedlíkovej ulice);2
2020-09-06 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);13
2020-09-06 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);41
2020-09-06 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);10
2020-09-06 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);11
2020-09-06 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);6
2020-09-06 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);15
2020-09-06 00:00:00;OBCH ( oblasť Obchodná ulica stred);8
2020-09-06 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);10
2020-09-06 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-09-07 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);13
2020-09-07 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-09-07 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);14
2020-09-07 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);28
2020-09-07 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);6
2020-09-07 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);13
2020-09-07 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);7
2020-09-07 00:00:00;OBCH ( oblasť Obchodná ulica stred);6
2020-09-07 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);21
2020-09-07 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);20
2020-09-07 00:00:00;KNPM (oblasť Jedlíkovej ulice);2
2020-09-07 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);10
2020-09-07 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);14
2020-09-07 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);10
2020-09-07 00:00:00;NSNP (oblasť Námestia SNP);8
2020-09-07 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);5
2020-09-07 00:00:00;Tyršák;13
2020-09-07 00:00:00;HURN (oblasť Hurbanovho námestia);6
2020-09-07 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2020-09-07 00:00:00;RBNN (oblasť Rybného Námestia);14
2020-09-07 00:00:00;NSLO (oblasť parku Námestia Slobody);9
2020-09-07 00:00:00;CTUR;0
2020-09-08 00:00:00;NSLO (oblasť parku Námestia Slobody);8
2020-09-08 00:00:00;RBNN (oblasť Rybného Námestia);14
2020-09-08 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);15
2020-09-08 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);19
2020-09-08 00:00:00;OBCH ( oblasť Obchodná ulica stred);8
2020-09-08 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);11
2020-09-08 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);7
2020-09-08 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);25
2020-09-08 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);23
2020-09-08 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);11
2020-09-08 00:00:00;Tyršák;21
2020-09-08 00:00:00;NSNP (oblasť Námestia SNP);6
2020-09-08 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);9
2020-09-08 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);31
2020-09-08 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);3
2020-09-08 00:00:00;HURN (oblasť Hurbanovho námestia);7
2020-09-08 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-09-08 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);26
2020-09-08 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);36
2020-09-08 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-09-08 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);4
2020-09-08 00:00:00;CTUR;0
2020-09-09 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);20
2020-09-09 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-09-09 00:00:00;RBNN (oblasť Rybného Námestia);18
2020-09-09 00:00:00;Tyršák;20
2020-09-09 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);32
2020-09-09 00:00:00;OBCH ( oblasť Obchodná ulica stred);9
2020-09-09 00:00:00;CTUR;1
2020-09-09 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);12
2020-09-09 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);31
2020-09-09 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);31
2020-09-09 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);11
2020-09-09 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);11
2020-09-09 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);16
2020-09-09 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);23
2020-09-09 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);11
2020-09-09 00:00:00;NSNP (oblasť Námestia SNP);12
2020-09-09 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);15
2020-09-09 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);4
2020-09-09 00:00:00;HURN (oblasť Hurbanovho námestia);6
2020-09-09 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);24
2020-09-09 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);14
2020-09-09 00:00:00;NSLO (oblasť parku Námestia Slobody);6
2020-09-10 00:00:00;Tyršák;39
2020-09-10 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);27
2020-09-10 00:00:00;RBNN (oblasť Rybného Námestia);23
2020-09-10 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);19
2020-09-10 00:00:00;HURN (oblasť Hurbanovho námestia);19
2020-09-10 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-09-10 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);18
2020-09-10 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);22
2020-09-10 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);25
2020-09-10 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);12
2020-09-10 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);29
2020-09-10 00:00:00;CTUR;0
2020-09-10 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);9
2020-09-10 00:00:00;OBCH ( oblasť Obchodná ulica stred);8
2020-09-10 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);11
2020-09-10 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);11
2020-09-10 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);5
2020-09-10 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);17
2020-09-10 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);8
2020-09-10 00:00:00;NSLO (oblasť parku Námestia Slobody);8
2020-09-10 00:00:00;NSNP (oblasť Námestia SNP);14
2020-09-10 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);8
2020-09-11 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);36
2020-09-11 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);9
2020-09-11 00:00:00;RBNN (oblasť Rybného Námestia);12
2020-09-11 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);22
2020-09-11 00:00:00;OBCH ( oblasť Obchodná ulica stred);12
2020-09-11 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);14
2020-09-11 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);19
2020-09-11 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);5
2020-09-11 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);19
2020-09-11 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);10
2020-09-11 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);29
2020-09-11 00:00:00;Tyršák;32
2020-09-11 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);18
2020-09-11 00:00:00;NSLO (oblasť parku Námestia Slobody);19
2020-09-11 00:00:00;NSNP (oblasť Námestia SNP);12
2020-09-11 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);19
2020-09-11 00:00:00;HURN (oblasť Hurbanovho námestia);8
2020-09-11 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);4
2020-09-11 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);12
2020-09-11 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);36
2020-09-11 00:00:00;KNPM (oblasť Jedlíkovej ulice);2
2020-09-11 00:00:00;CTUR;1
2020-09-12 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);34
2020-09-12 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);26
2020-09-12 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);15
2020-09-12 00:00:00;OBCH ( oblasť Obchodná ulica stred);11
2020-09-12 00:00:00;RBNN (oblasť Rybného Námestia);14
2020-09-12 00:00:00;CTUR;0
2020-09-12 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);5
2020-09-12 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);6
2020-09-12 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);31
2020-09-12 00:00:00;Tyršák;47
2020-09-12 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);37
2020-09-12 00:00:00;NSNP (oblasť Námestia SNP);30
2020-09-12 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);23
2020-09-12 00:00:00;NSLO (oblasť parku Námestia Slobody);6
2020-09-12 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);31
2020-09-12 00:00:00;HURN (oblasť Hurbanovho námestia);7
2020-09-12 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-09-12 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);7
2020-09-12 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);15
