"date";"location";"value"
2018-10-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);3338
2018-10-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);2995
2018-10-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);1825
2018-10-01 00:00:00;RBNN (oblasť Rybného Námestia);1575
2018-10-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);1431
2018-10-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);1321
2018-10-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);1192
2018-10-01 00:00:00;Ostatné;4153
