"date";"location";"value"
2020-10-01 00:00:00;RBNN (oblasť Rybného Námestia);8
2020-10-01 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);9
2020-10-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);3
2020-10-01 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);5
2020-10-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);12
2020-10-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);5
2020-10-01 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-10-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);13
2020-10-01 00:00:00;NSNP (oblasť Námestia SNP);3
2020-10-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);6
2020-10-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);19
2020-10-01 00:00:00;Tyršák;4
2020-10-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);11
2020-10-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);24
2020-10-01 00:00:00;OBCH ( oblasť Obchodná ulica stred);7
2020-10-01 00:00:00;HURN (oblasť Hurbanovho námestia);8
2020-10-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);5
2020-10-01 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);5
2020-10-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);0
2020-10-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);0
2020-10-01 00:00:00;NSLO (oblasť parku Námestia Slobody);4
2020-10-01 00:00:00;CTUR;0
2020-10-02 00:00:00;RBNN (oblasť Rybného Námestia);9
2020-10-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);19
2020-10-02 00:00:00;Tyršák;5
2020-10-02 00:00:00;OBCH ( oblasť Obchodná ulica stred);6
2020-10-02 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);5
2020-10-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);11
2020-10-02 00:00:00;NSLO (oblasť parku Námestia Slobody);6
2020-10-02 00:00:00;NSNP (oblasť Námestia SNP);7
2020-10-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);16
2020-10-02 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);4
2020-10-02 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);9
2020-10-02 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);21
2020-10-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);12
2020-10-02 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);11
2020-10-02 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-10-02 00:00:00;HURN (oblasť Hurbanovho námestia);5
2020-10-02 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);7
2020-10-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);4
2020-10-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);6
2020-10-02 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);7
2020-10-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);11
2020-10-02 00:00:00;CTUR;0
2020-10-03 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-10-03 00:00:00;NSNP (oblasť Námestia SNP);6
2020-10-03 00:00:00;RBNN (oblasť Rybného Námestia);10
2020-10-03 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);16
2020-10-03 00:00:00;Tyršák;15
2020-10-03 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);14
2020-10-03 00:00:00;OBCH ( oblasť Obchodná ulica stred);7
2020-10-03 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-10-03 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);6
2020-10-03 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);18
2020-10-03 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);12
2020-10-03 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);19
2020-10-03 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);7
2020-10-03 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);15
2020-10-03 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);28
2020-10-03 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);16
2020-10-03 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);11
2020-10-03 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);3
2020-10-03 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);2
2020-10-03 00:00:00;HURN (oblasť Hurbanovho námestia);9
2020-10-03 00:00:00;NSLO (oblasť parku Námestia Slobody);7
2020-10-03 00:00:00;CTUR;0
2020-10-04 00:00:00;RBNN (oblasť Rybného Námestia);11
2020-10-04 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);11
