"date";"location";"value"
2019-05-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);3160
2019-05-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);2308
2019-05-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);1502
2019-05-01 00:00:00;RBNN (oblasť Rybného Námestia);1496
2019-05-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);1483
2019-05-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);1224
2019-05-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);937
2019-05-01 00:00:00;Ostatné;3279
