"date";"location";"value"
2019-12-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);13
2019-12-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2019-12-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);17
2019-12-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);11
2019-12-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);16
2019-12-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);17
2019-12-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);4
2019-12-01 00:00:00;RBNN (oblasť Rybného Námestia);47
2019-12-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);92
2019-12-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);32
2019-12-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);49
2019-12-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);5
2019-12-01 00:00:00;NSLO (oblasť parku Námestia Slobody);1
2019-12-02 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);10
2019-12-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);10
2019-12-02 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2019-12-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);4
2019-12-02 00:00:00;RBNN (oblasť Rybného Námestia);19
2019-12-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);27
2019-12-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);34
2019-12-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);4
2019-12-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2019-12-02 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2019-12-02 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);14
2019-12-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);48
2019-12-02 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2019-12-03 00:00:00;NSLO (oblasť parku Námestia Slobody);3
2019-12-03 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);21
2019-12-03 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);7
2019-12-03 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);13
2019-12-03 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);16
2019-12-03 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);63
2019-12-03 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);7
2019-12-03 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);4
2019-12-03 00:00:00;RBNN (oblasť Rybného Námestia);22
2019-12-03 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);29
2019-12-03 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);56
2019-12-03 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);9
2019-12-03 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);6
2019-12-04 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);11
