"date";"location";"value"
2019-10-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);12
2019-10-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);96
2019-10-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);18
2019-10-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);24
2019-10-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);9
2019-10-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);23
2019-10-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);43
2019-10-01 00:00:00;NSLO (oblasť parku Námestia Slobody);7
2019-10-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);12
2019-10-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);29
2019-10-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);42
2019-10-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);65
2019-10-01 00:00:00;RBNN (oblasť Rybného Námestia);34
2019-10-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);12
2019-10-02 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);16
2019-10-02 00:00:00;NSLO (oblasť parku Námestia Slobody);5
2019-10-02 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);18
2019-10-02 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);39
2019-10-02 00:00:00;RBNN (oblasť Rybného Námestia);32
2019-10-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);51
2019-10-02 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);16
2019-10-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);12
2019-10-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);79
2019-10-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);35
2019-10-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);5
2019-10-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);38
2019-10-03 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);50
2019-10-03 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);18
2019-10-03 00:00:00;RBNN (oblasť Rybného Námestia);42
2019-10-03 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);56
2019-10-03 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);22
2019-10-03 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);44
2019-10-03 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);6
2019-10-03 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);11
2019-10-03 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);4
2019-10-03 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);30
2019-10-03 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);20
2019-10-03 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);3
2019-10-03 00:00:00;NSLO (oblasť parku Námestia Slobody);5
2019-10-04 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);31
2019-10-04 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);28
2019-10-04 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);15
2019-10-04 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);116
2019-10-04 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);27
2019-10-04 00:00:00;RBNN (oblasť Rybného Námestia);32
2019-10-04 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);145
2019-10-04 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);30
2019-10-04 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);48
2019-10-04 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);8
2019-10-04 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);21
2019-10-04 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);30
2019-10-04 00:00:00;NSLO (oblasť parku Námestia Slobody);5
2019-10-05 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);46
2019-10-05 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);8
2019-10-05 00:00:00;NSLO (oblasť parku Námestia Slobody);1
2019-10-05 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);43
2019-10-05 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);14
2019-10-05 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);75
2019-10-05 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2019-10-05 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);23
2019-10-05 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);21
2019-10-05 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);23
2019-10-05 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);57
2019-10-05 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);16
