"date";"location";"value"
2018-08-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);5892
2018-08-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);5671
2018-08-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);4178
2018-08-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);2760
2018-08-01 00:00:00;RBNN (oblasť Rybného Námestia);2538
2018-08-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);2343
2018-08-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);1859
2018-08-01 00:00:00;Ostatné;6061
