DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2018-10-01 00:00:00,26458703971,134574302294,4306
2018-10-02 00:00:00,15205568523,142561800998,3850
2018-10-03 00:00:00,19640177096,150054346838,4436
2018-10-04 00:00:00,23338382173,153472233779,5051
2018-10-05 00:00:00,35978207560,202114583236,5875
2018-10-06 00:00:00,45741391989,167255309039,5559
2018-10-07 00:00:00,30045896063,135380618281,4908
2018-10-08 00:00:00,26224025973,130228702700,4673
2018-10-09 00:00:00,21236040528,152428696168,5218
2018-10-10 00:00:00,39978055750,193149596808,6247
2018-10-11 00:00:00,20356778325,132498300298,3967
2018-10-12 00:00:00,25007562369,124012756743,3902
2018-10-13 00:00:00,23067193467,112772835547,3689
2018-10-14 00:00:00,34737697833,132590310613,5040
2018-10-15 00:00:00,27785883013,141250061598,5058
2018-10-16 00:00:00,25196811799,135349436241,5119
2018-10-17 00:00:00,20167348186,151292401262,5146
2018-10-18 00:00:00,24841364056,156899572532,5340
2018-10-19 00:00:00,28754448948,144385633437,5094
2018-10-20 00:00:00,31863504534,121500398613,5325
2018-10-21 00:00:00,21339932887,103687495714,3708
2018-10-22 00:00:00,18756283922,129056209902,4161
2018-10-23 00:00:00,16119928664,113953738051,3752
2018-10-24 00:00:00,9418043262,124078421313,3199
2018-10-25 00:00:00,17555915076,146159181495,4322
2018-10-26 00:00:00,26392996376,175418892075,5001
2018-10-27 00:00:00,14872120902,113569533408,3132
2018-10-28 00:00:00,20840699696,123936914642,3508
2018-10-29 00:00:00,31518561724,143248788629,5056
2018-10-30 00:00:00,16697772566,113472840435,3496
2018-10-31 00:00:00,20145444084,125947383393,4129
