DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2019-11-01 00:00:00,16452630810,109412241111,2715
2019-11-01 02:00:00,164340238,1778361025,95
2019-11-01 04:00:00,97506154,1320980486,60
2019-11-01 06:00:00,194103986,1636458452,41
2019-11-01 08:00:00,733328188,4000193683,143
2019-11-01 10:00:00,2322866605,12069261828,417
2019-11-01 12:00:00,4236925941,18049648188,657
2019-11-01 14:00:00,3806923395,17330660136,681
2019-11-01 16:00:00,2840193778,14835933218,638
2019-11-01 18:00:00,820880081,10637793243,314
2019-11-01 20:00:00,462754631,10454912047,256
2019-11-01 22:00:00,291836143,5183964629,155
2019-11-02 00:00:00,13996492960,116596660682,2419
2019-11-02 02:00:00,94636871,2468214255,36
2019-11-02 04:00:00,32563258,881157025,42
2019-11-02 06:00:00,129118223,3461615157,45
2019-11-02 08:00:00,1377894149,7616018504,205
2019-11-02 10:00:00,1818531805,11110533430,418
2019-11-02 12:00:00,3854696190,21189911678,669
2019-11-02 14:00:00,2390262177,12011144295,599
2019-11-02 16:00:00,1877951024,16980043379,393
2019-11-02 18:00:00,956311905,14021089456,277
2019-11-02 20:00:00,816012510,12972362428,297
2019-11-02 22:00:00,360816532,6943489431,161
2019-11-03 00:00:00,26333449120,151345055191,3335
2019-11-03 02:00:00,143574133,3467902470,72
2019-11-03 04:00:00,71376952,2009281686,64
2019-11-03 06:00:00,97036758,3123709046,38
2019-11-03 08:00:00,997518999,17955500008,190
2019-11-03 10:00:00,3843773826,16278792789,498
2019-11-03 12:00:00,4717861800,20312642511,690
2019-11-03 14:00:00,3554749057,17298996662,823
2019-11-03 16:00:00,7377879510,17901829214,820
2019-11-03 18:00:00,3081751121,13726152057,544
2019-11-03 20:00:00,1528934112,14276391617,408
2019-11-03 22:00:00,442203898,6614134527,220
2019-11-04 00:00:00,10681312994,110600072989,3544
2019-11-04 02:00:00,51620761,1286763727,20
2019-11-04 04:00:00,34746344,623224786,19
2019-11-04 06:00:00,168498730,2451266073,226
2019-11-04 08:00:00,605760737,6964221048,384
2019-11-04 10:00:00,1946208347,10259178531,508
2019-11-04 12:00:00,1562271307,16277551770,840
2019-11-04 14:00:00,1925850941,15633527337,849
2019-11-04 16:00:00,1687157970,11755509620,693
2019-11-04 18:00:00,1355187335,12005111489,491
2019-11-04 20:00:00,672631122,14828581273,356
2019-11-04 22:00:00,526196748,13489552401,166
2019-11-05 00:00:00,10297360352,103045668993,2646
2019-11-05 02:00:00,140050999,5670851993,19
2019-11-05 04:00:00,42278855,1258832500,15
2019-11-05 06:00:00,250432993,4309408001,178
2019-11-05 08:00:00,466749679,6777837131,260
2019-11-05 10:00:00,1085779221,7349046999,296
2019-11-05 12:00:00,1420168631,15379142933,472
2019-11-05 14:00:00,1914499832,12296464346,623
2019-11-05 16:00:00,969899939,8264074244,593
2019-11-05 18:00:00,2560164159,12128783198,434
2019-11-05 20:00:00,976584629,16604170959,286
2019-11-05 22:00:00,235057501,5906548805,161
2019-11-06 00:00:00,17375703086,137013066157,3511
2019-11-06 02:00:00,80460542,3373007746,26
2019-11-06 04:00:00,43393059,850897567,22
2019-11-06 06:00:00,418841891,5647652607,246
2019-11-06 08:00:00,358767648,7694670486,310
2019-11-06 10:00:00,1537010016,13176972322,422
2019-11-06 12:00:00,4516709170,16716866311,829
2019-11-06 14:00:00,4790837368,21360545307,928
2019-11-06 16:00:00,2636160899,21414759864,757
2019-11-06 18:00:00,996050309,15551905428,522
2019-11-06 20:00:00,883107247,13551440549,365
2019-11-06 22:00:00,877211439,9038448142,171
2019-11-07 00:00:00,14049131192,120375539376,3334
2019-11-07 02:00:00,41170435,957835735,14
2019-11-07 04:00:00,7842131,117464020,4
2019-11-07 06:00:00,684086315,4156872522,204
2019-11-07 08:00:00,299909592,5247128556,298
2019-11-07 10:00:00,1971301655,9815932561,524
2019-11-07 12:00:00,2515155590,14162300119,764
2019-11-07 14:00:00,4032126588,26725342469,886
2019-11-07 16:00:00,1872535966,14202960378,662
2019-11-07 18:00:00,809354357,11269371433,429
2019-11-07 20:00:00,1016262600,11195908394,289
2019-11-07 22:00:00,312615417,7254764251,184
2019-11-08 00:00:00,15835278768,101089113147,3431
2019-11-08 02:00:00,92921497,1567230728,21
2019-11-08 04:00:00,38814007,390482402,35
2019-11-08 06:00:00,2387448774,4490180632,207
2019-11-08 08:00:00,476744796,6124956295,342
2019-11-08 10:00:00,1864306645,13815937741,433
2019-11-08 12:00:00,2237378354,11367677895,624
2019-11-08 14:00:00,1781301344,15881899140,784
2019-11-08 16:00:00,2573913325,11152162987,622
2019-11-08 18:00:00,1019849337,9551371614,592
2019-11-08 20:00:00,1792434074,12028126438,524
2019-11-08 22:00:00,364472443,8140288887,248
2019-11-09 00:00:00,10321277475,99546505817,2331
2019-11-09 02:00:00,123339556,2185002949,83
2019-11-09 04:00:00,53999054,1079213657,65
2019-11-09 06:00:00,182783537,5563523741,70
2019-11-09 08:00:00,574587146,3670248098,172
2019-11-09 10:00:00,1092435395,7682965251,311
2019-11-09 12:00:00,947098917,9197240364,385
2019-11-09 14:00:00,1948148959,11778390001,383
2019-11-09 16:00:00,2446821081,10174708786,483
2019-11-09 18:00:00,742095458,13420824158,306
2019-11-09 20:00:00,552238304,14672173080,270
2019-11-09 22:00:00,714925284,13444135946,229
2019-11-10 00:00:00,8207367639,82372462965,2399
2019-11-10 02:00:00,92981106,2017795419,113
2019-11-10 04:00:00,377824723,1637903564,64
2019-11-10 06:00:00,51148890,936555417,52
2019-11-10 08:00:00,169783096,2665063665,123
2019-11-10 10:00:00,705061460,6528741496,274
2019-11-10 12:00:00,1323664724,11629185656,434
2019-11-10 14:00:00,1214590312,11432130754,482
2019-11-10 16:00:00,1564566534,10806337650,511
2019-11-10 18:00:00,1131002575,8161768850,475
2019-11-10 20:00:00,378817024,7684117077,240
2019-11-10 22:00:00,275973067,7113912429,107
2019-11-11 00:00:00,6773902036,76632331006,2662
2019-11-11 02:00:00,24767252,982265028,19
2019-11-11 04:00:00,22311458,299376675,24
2019-11-11 06:00:00,176000079,3403323030,202
2019-11-11 08:00:00,246813052,4550812113,231
2019-11-11 10:00:00,973288513,8979110137,327
2019-11-11 12:00:00,1887488704,12545998091,564
2019-11-11 14:00:00,1056024474,10815430798,601
2019-11-11 16:00:00,942932181,10004863268,554
2019-11-11 18:00:00,638970120,6560123186,419
2019-11-11 20:00:00,262980927,5365323983,235
2019-11-11 22:00:00,292926408,4646604983,132
2019-11-12 00:00:00,6492955756,61905313462,2106
2019-11-12 02:00:00,32544426,974227189,19
2019-11-12 04:00:00,21394938,328841385,11
2019-11-12 06:00:00,170604949,3061448365,201
2019-11-12 08:00:00,368560279,4959396547,253
2019-11-12 10:00:00,582018135,5422320717,330
2019-11-12 12:00:00,2147521839,8114130794,492
2019-11-12 14:00:00,1595564974,8539595703,438
2019-11-12 16:00:00,563695735,6176397686,306
2019-11-12 18:00:00,231385613,4212003913,218
2019-11-12 20:00:00,442375102,9362427535,251
2019-11-12 22:00:00,162709972,6034263808,120
2019-11-13 00:00:00,4980946344,89106669612,1880
2019-11-13 02:00:00,51392837,1664147453,19
2019-11-13 04:00:00,15258865,421803341,28
2019-11-13 06:00:00,202929688,4169048680,193
2019-11-13 08:00:00,448881545,3494950715,232
2019-11-13 10:00:00,581485922,5418420882,277
2019-11-13 12:00:00,911112391,6898770584,244
2019-11-13 14:00:00,606528923,10975874120,349
2019-11-13 16:00:00,600824701,7990961040,304
2019-11-13 18:00:00,468145899,13668008118,352
2019-11-13 20:00:00,532674168,18698509933,228
2019-11-13 22:00:00,401907917,10801652222,158
2019-11-14 00:00:00,7714179576,104822058867,2859
2019-11-14 02:00:00,77514213,4586070765,49
2019-11-14 04:00:00,39068909,774564379,34
2019-11-14 06:00:00,154129804,2241507091,206
2019-11-14 08:00:00,466651278,4781244659,267
2019-11-14 10:00:00,813571597,8512701135,463
2019-11-14 12:00:00,975184851,10421070708,583
2019-11-14 14:00:00,2058080812,12115557826,596
