DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2019-02-01 00:00:00,6147548140,87179296675,1892
2019-02-02 00:00:00,8455316582,71326413639,2300
2019-02-03 00:00:00,4834969158,68461057346,1501
2019-02-04 00:00:00,6282096737,81749091674,2420
2019-02-05 00:00:00,7720598974,83858459092,2858
2019-02-06 00:00:00,8009511894,85224195174,2672
2019-02-07 00:00:00,6714162493,87593438963,2723
2019-02-08 00:00:00,7897385713,91696730829,3028
2019-02-09 00:00:00,9676038744,70615305842,2385
2019-02-10 00:00:00,5962859593,72293657723,2139
2019-02-11 00:00:00,7005653793,83666803056,2602
2019-02-12 00:00:00,6240002481,91227217448,2517
2019-02-13 00:00:00,8874142241,94039725424,3007
2019-02-14 00:00:00,10478079041,92875262093,3197
2019-02-15 00:00:00,12524272116,92797069526,3568
2019-02-16 00:00:00,19708604067,105421549493,3622
2019-02-17 00:00:00,18152342173,94030827522,3539
2019-02-18 00:00:00,12565797313,101842500872,3653
2019-02-19 00:00:00,11019422840,110358151343,3978
2019-02-20 00:00:00,10831278505,107165369873,3919
2019-02-21 00:00:00,16418101858,110653773647,4529
2019-02-22 00:00:00,6984975723,73190582092,2263
2019-02-23 00:00:00,9547132445,67215527898,2220
2019-02-24 00:00:00,6822340930,55184587498,1836
2019-02-25 00:00:00,8350714685,75337277825,2853
2019-02-26 00:00:00,6126470331,73426010750,2837
2019-02-27 00:00:00,10019891562,114255290760,3295
2019-02-28 00:00:00,9862973860,111145995928,3399
