"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2020-06-01 00:00:00;107;1304;252;362;4700;1030;727;122;79
2020-06-02 00:00:00;78;1242;226;326;4144;879;652;120;74
2020-06-03 00:00:00;105;1414;286;404;4644;1010;760;170;96
2020-06-04 00:00:00;115;1391;281;396;4579;1092;754;158;97
2020-06-05 00:00:00;106;1342;269;379;4784;1015;731;142;100
2020-06-06 00:00:00;191;1608;373;514;6941;1588;1017;214;111
2020-06-07 00:00:00;132;1238;298;435;4764;1128;828;153;87
2020-06-08 00:00:00;95;1269;250;352;4224;925;678;119;76
2020-06-09 00:00:00;120;1459;307;434;4945;1158;756;156;102
2020-06-10 00:00:00;111;1434;283;403;4594;992;777;171;97
2020-06-11 00:00:00;216;1691;373;526;6159;1453;1033;224;108
2020-06-12 00:00:00;222;1745;382;514;6717;1594;1058;246;106
2020-06-13 00:00:00;233;1830;414;570;7290;1718;1157;245;118
2020-06-14 00:00:00;119;1140;283;422;4036;1014;757;176;59
2020-06-15 00:00:00;140;1605;316;454;6307;1386;903;164;92
2020-06-16 00:00:00;151;1588;323;449;6201;1288;886;173;100
2020-06-17 00:00:00;168;1625;296;424;5656;1250;839;182;91
2020-06-18 00:00:00;137;1410;249;366;4850;1063;722;146;72
2020-06-19 00:00:00;184;1773;359;504;7091;1613;1001;203;99
2020-06-20 00:00:00;112;903;191;292;3409;762;529;96;62
2020-06-21 00:00:00;57;725;151;236;2525;486;411;68;48
2020-06-22 00:00:00;187;1703;496;632;6407;1421;943;183;115
2020-06-23 00:00:00;225;1966;750;905;8050;1776;1108;216;93
2020-06-24 00:00:00;256;2119;438;592;8439;1928;1209;287;116
2020-06-25 00:00:00;262;2256;465;617;9773;2186;1294;280;117
2020-06-26 00:00:00;312;2408;520;679;10526;2468;1548;267;136
2020-06-27 00:00:00;386;2254;555;747;11311;2715;1629;352;110
2020-06-28 00:00:00;273;1692;425;578;7710;1834;1228;239;122
2020-06-29 00:00:00;166;1588;275;418;6090;1267;808;123;65
2020-06-30 00:00:00;333;2379;526;696;10708;2548;1373;249;105
