"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-07-01 00:00:00;298;977;127;780;3542;839;573;115;428
2019-07-02 00:00:00;658;2174;315;1034;8784;2155;1463;238;978
2019-07-03 00:00:00;790;2442;359;1230;10229;2590;1748;389;1277
2019-07-04 00:00:00;678;2487;443;1394;10541;2597;1880;323;1427
2019-07-05 00:00:00;697;2390;377;1347;10277;2776;1875;448;1274
2019-07-06 00:00:00;696;1911;373;1103;8529;2301;1606;316;1252
2019-07-07 00:00:00;610;1793;433;1344;7553;1918;1263;212;1424
2019-07-08 00:00:00;656;2206;189;783;10059;2481;1761;333;431
2019-07-09 00:00:00;635;2382;149;644;10450;2461;1737;305;123
2019-07-10 00:00:00;698;2506;165;643;11695;2803;1848;289;153
2019-07-11 00:00:00;694;2426;172;717;11880;2806;2039;347;152
2019-07-12 00:00:00;579;2206;151;635;10501;2509;1789;297;141
2019-07-13 00:00:00;553;1581;117;612;8460;1924;1318;220;105
2019-07-14 00:00:00;825;2009;177;765;13028;2976;1956;308;123
2019-07-15 00:00:00;730;2495;162;821;11267;2752;1920;291;152
2019-07-16 00:00:00;756;2695;184;750;12912;3120;2177;367;132
2019-07-17 00:00:00;820;2884;214;859;15420;3538;2402;418;160
2019-07-18 00:00:00;787;2811;192;732;12990;3196;2254;400;185
2019-07-19 00:00:00;760;2433;176;669;12299;2913;2009;364;150
2019-07-20 00:00:00;983;3582;275;1842;19197;5048;3094;514;199
2019-07-21 00:00:00;910;2673;210;978;15441;3646;2360;355;132
2019-07-22 00:00:00;769;2728;194;854;13662;3260;2192;376;176
2019-07-23 00:00:00;723;2634;187;732;12982;3201;2242;383;140
2019-07-24 00:00:00;736;2851;184;673;12842;3184;2098;383;145
2019-07-25 00:00:00;767;2700;193;734;13058;3262;2310;397;192
2019-07-26 00:00:00;799;2905;216;868;14730;3678;2548;441;189
2019-07-27 00:00:00;620;2376;148;686;10511;2531;1729;287;98
2019-07-28 00:00:00;791;2498;195;743;14002;3267;2289;357;137
2019-07-29 00:00:00;820;2391;188;876;13280;3323;2273;315;112
2019-07-30 00:00:00;707;2687;180;713;12457;2998;2199;354;151
2019-07-31 00:00:00;816;2618;192;788;13016;3286;2239;386;180
