"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2021-01-01 00:00:00;19;298;87;149;927;182;154;43;50
2021-01-02 00:00:00;24;405;108;171;1267;295;253;51;53
2021-01-03 00:00:00;18;415;101;157;1601;267;220;62;44
2021-01-04 00:00:00;37;565;136;204;2202;459;352;72;54
2021-01-05 00:00:00;39;595;147;220;2820;513;358;74;47
2021-01-06 00:00:00;25;452;143;205;2014;367;272;83;51
2021-01-07 00:00:00;29;527;126;198;1944;371;324;73;45
2021-01-08 00:00:00;32;556;119;191;1859;392;322;53;48
2021-01-09 00:00:00;23;568;148;219;2140;398;381;88;55
2021-01-10 00:00:00;23;482;141;208;2555;347;332;69;67
2021-01-11 00:00:00;24;533;126;199;1787;322;331;64;58
2021-01-12 00:00:00;23;557;131;204;2428;405;312;86;52
2021-01-13 00:00:00;22;603;145;219;2459;414;360;78;59
2021-01-14 00:00:00;20;596;130;205;2302;384;304;72;58
2021-01-15 00:00:00;31;502;111;180;1532;317;292;70;43
2021-01-16 00:00:00;19;412;114;162;1191;267;260;53;63
2021-01-17 00:00:00;15;432;157;221;1361;321;275;66;74
2021-01-18 00:00:00;36;558;188;254;1876;421;357;82;74
2021-01-19 00:00:00;33;601;144;210;2285;427;334;61;64
2021-01-20 00:00:00;26;548;131;198;2070;345;317;72;57
2021-01-21 00:00:00;30;669;218;299;2125;424;377;85;69
2021-01-22 00:00:00;33;708;189;264;2374;491;430;89;62
2021-01-23 00:00:00;32;573;150;222;1768;411;333;85;62
2021-01-24 00:00:00;30;554;164;232;2240;452;308;78;68
2021-01-25 00:00:00;32;647;144;226;2349;405;373;88;52
2021-01-26 00:00:00;25;598;132;204;2417;400;339;64;52
2021-01-27 00:00:00;33;659;182;255;2116;403;390;88;81
2021-01-28 00:00:00;35;599;158;232;2019;389;371;64;56
2021-01-29 00:00:00;30;557;126;184;1979;413;308;55;56
2021-01-30 00:00:00;36;597;142;221;2288;460;365;78;53
2021-01-31 00:00:00;28;510;114;185;2295;440;270;57;42
