"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2020-05-01 00:00:00;61;735;191;276;2589;604;489;100;78
2020-05-03 00:00:00;32;579;160;233;1987;490;369;95;70
2020-05-04 00:00:00;63;899;197;285;2931;668;574;99;72
2020-05-05 00:00:00;44;833;189;280;2410;563;482;95;85
2020-05-06 00:00:00;55;753;173;268;2758;609;483;96;64
2020-05-07 00:00:00;60;1042;216;324;3417;791;598;124;76
2020-05-08 00:00:00;88;954;219;322;3642;827;568;137;76
2020-05-09 00:00:00;83;1024;210;313;4041;979;615;111;60
2020-05-10 00:00:00;76;812;191;280;3214;774;534;118;56
2020-05-11 00:00:00;52;964;220;311;3180;673;590;115;89
2020-05-12 00:00:00;49;874;194;286;3086;690;517;99;66
2020-05-13 00:00:00;56;682;143;220;2039;457;363;98;59
2020-05-14 00:00:00;64;953;195;286;3183;677;547;107;68
2020-05-15 00:00:00;36;580;139;214;1815;389;291;72;60
2020-05-16 00:00:00;97;1068;227;327;4340;998;664;126;62
2020-05-17 00:00:00;87;965;218;316;3759;877;588;119;77
2020-05-18 00:00:00;95;1189;247;348;3884;920;647;147;93
2020-05-19 00:00:00;89;1121;235;332;3766;842;648;134;77
2020-05-20 00:00:00;104;1214;269;372;3977;919;701;150;100
2020-05-21 00:00:00;103;1129;250;364;4266;975;680;119;84
2020-05-22 00:00:00;94;1326;274;388;4708;1055;784;152;89
2020-05-23 00:00:00;63;728;177;259;2670;492;464;107;71
2020-05-24 00:00:00;87;917;196;306;3917;867;573;126;47
2020-05-25 00:00:00;56;894;173;265;2754;577;462;102;64
2020-05-26 00:00:00;51;1000;202;293;3153;591;495;126;76
2020-05-27 00:00:00;95;1218;236;359;4404;974;648;130;73
2020-05-28 00:00:00;69;856;176;267;2689;563;477;106;69
2020-05-29 00:00:00;102;1219;229;339;3958;837;701;137;63
2020-05-30 00:00:00;86;1139;246;346;4019;923;682;135;89
2020-05-31 00:00:00;27;498;117;187;1522;310;280;64;52
