"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2020-03-01 00:00:00;265;1149;265;392;6488;1357;833;124;58
2020-03-02 00:00:00;275;1913;327;474;8307;1841;920;141;73
2020-03-03 00:00:00;199;1733;274;409;6281;1430;752;140;70
2020-03-04 00:00:00;215;2076;335;466;8207;1709;911;139;101
2020-03-05 00:00:00;262;2004;337;482;8469;1686;922;129;90
2020-03-06 00:00:00;248;1576;312;439;6698;1432;816;139;63
2020-03-07 00:00:00;361;1383;359;514;7797;1803;1010;138;66
2020-03-08 00:00:00;439;1460;357;519;8618;1932;1124;192;63
2020-03-09 00:00:00;252;1481;273;396;6332;1459;855;114;61
2020-03-10 00:00:00;210;1416;267;410;6322;1408;849;140;59
2020-03-11 00:00:00;230;1352;294;417;6364;1480;810;135;86
2020-03-12 00:00:00;222;1324;305;440;6579;1602;941;160;65
2020-03-13 00:00:00;63;830;166;251;2710;690;533;109;39
2020-03-14 00:00:00;48;569;141;222;1987;451;380;92;53
2020-03-15 00:00:00;26;532;141;218;1739;398;388;77;57
2020-03-16 00:00:00;26;515;122;188;1580;358;304;77;53
2020-03-17 00:00:00;21;483;116;182;1364;308;275;75;51
2020-03-18 00:00:00;26;613;149;224;1794;421;383;73;72
2020-03-19 00:00:00;22;563;138;200;1519;415;368;64;59
2020-03-20 00:00:00;22;580;131;198;1806;399;344;77;48
2020-03-21 00:00:00;10;327;96;144;768;181;219;55;53
2020-03-22 00:00:00;13;281;75;118;820;176;153;43;36
2020-03-23 00:00:00;13;410;106;160;1036;230;255;70;49
2020-03-24 00:00:00;12;482;127;184;1202;320;280;69;68
2020-03-25 00:00:00;6;338;93;149;874;203;188;52;49
2020-03-26 00:00:00;17;423;103;165;1116;260;227;62;48
2020-03-27 00:00:00;25;586;146;214;1781;420;313;80;76
2020-03-28 00:00:00;32;517;131;200;1610;406;322;100;43
2020-03-29 00:00:00;19;389;110;168;1226;305;254;52;54
2020-03-30 00:00:00;15;442;114;181;1098;276;254;67;59
2020-03-31 00:00:00;15;469;126;184;1289;280;282;75;64
