"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-01-01 00:00:00;485;2759;129;1378;9166;2193;1460;161;78
2019-01-02 00:00:00;334;1236;75;392;5449;1076;868;159;67
2019-01-03 00:00:00;246;1136;67;327;5217;996;666;98;72
2019-01-04 00:00:00;239;1246;63;345;4516;960;735;114;67
2019-01-05 00:00:00;167;949;43;210;3059;621;488;95;41
2019-01-06 00:00:00;201;1114;58;308;4299;958;599;98;54
2019-01-07 00:00:00;212;1483;64;276;4273;1057;748;138;79
2019-01-08 00:00:00;203;1653;80;372;5257;1136;989;175;114
2019-01-09 00:00:00;171;1852;80;419;5414;1136;985;166;105
2019-01-10 00:00:00;160;1927;77;385;5300;1057;917;156;86
2019-01-11 00:00:00;172;1910;79;382;5446;1036;882;183;120
2019-01-12 00:00:00;214;1289;69;319;5024;993;774;128;70
2019-01-13 00:00:00;194;1349;60;381;4283;935;728;101;56
2019-01-14 00:00:00;159;1838;78;347;5251;1164;931;149;106
2019-01-15 00:00:00;136;2181;83;380;5576;1150;988;175;115
2019-01-16 00:00:00;193;2285;89;376;5960;1311;1045;172;119
2019-01-17 00:00:00;224;2379;93;402;6253;1394;1048;198;125
2019-01-18 00:00:00;212;2216;94;419;6486;1404;1093;181;118
2019-01-19 00:00:00;237;1525;73;341;5367;1079;819;128;71
2019-01-20 00:00:00;256;1315;71;506;5373;1044;789;101;73
2019-01-21 00:00:00;173;1984;78;339;5398;1189;929;128;86
2019-01-22 00:00:00;183;1880;78;379;5206;1143;958;153;100
2019-01-23 00:00:00;158;1668;71;384;4793;979;834;166;96
2019-01-24 00:00:00;128;1808;73;345;4844;909;837;158;117
2019-01-25 00:00:00;218;1889;78;359;5200;1124;957;166;92
2019-01-26 00:00:00;189;1190;58;267;3881;891;725;107;79
2019-01-27 00:00:00;227;1244;67;409;4839;1014;778;113;68
2019-01-28 00:00:00;212;1882;80;430;5294;1118;950;164;120
2019-01-29 00:00:00;168;1991;83;341;5777;1322;916;153;87
2019-01-30 00:00:00;153;1846;75;346;4903;1044;871;160;117
2019-01-31 00:00:00;199;1927;77;405;5242;1142;899;141;104
