"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-02-01 00:00:00;149;1572;65;291;4501;949;753;129;85
2019-02-02 00:00:00;255;1537;75;338;5247;1199;850;133;93
2019-02-03 00:00:00;169;1134;54;275;3712;807;656;106;63
2019-02-04 00:00:00;185;2000;80;383;5177;1258;964;170;114
2019-02-05 00:00:00;240;2256;89;457;5973;1359;1070;174;108
2019-02-06 00:00:00;222;2078;89;432;6104;1245;966;174;127
2019-02-07 00:00:00;222;2182;88;411;6233;1303;955;164;106
2019-02-08 00:00:00;278;2331;97;455;6811;1566;1081;166;110
2019-02-09 00:00:00;278;1598;78;364;5613;1312;876;130;72
2019-02-10 00:00:00;225;1494;75;339;5263;1137;837;148;87
2019-02-11 00:00:00;228;2023;87;441;5965;1178;982;186;109
2019-02-12 00:00:00;163;2122;84;371;5709;1179;971;156;119
2019-02-13 00:00:00;245;2443;96;404;6585;1463;1139;198;105
2019-02-14 00:00:00;281;2538;99;465;6923;1552;1163;167;118
2019-02-15 00:00:00;370;2603;110;494;8002;1784;1196;188;105
2019-02-16 00:00:00;511;2148;122;534;8999;2081;1350;144;109
2019-02-17 00:00:00;448;2174;112;602;8328;1848;1248;160;91
2019-02-18 00:00:00;337;2714;114;555;7857;1962;1312;192;108
2019-02-19 00:00:00;312;3152;119;522;8122;1962;1472;210;107
2019-02-20 00:00:00;349;3010;120;584;8409;1942;1377;215;126
2019-02-21 00:00:00;501;3385;154;933;9632;2480;1833;356;207
2019-02-22 00:00:00;200;1825;82;417;5678;1166;946;184;91
2019-02-23 00:00:00;254;1489;73;407;5079;1117;902;133;69
2019-02-24 00:00:00;187;1327;60;246;4040;948;765;77;70
2019-02-25 00:00:00;267;2159;89;387;6211;1404;1105;148;84
2019-02-26 00:00:00;217;2231;84;384;5739;1273;1056;153;106
2019-02-27 00:00:00;263;2615;104;429;7495;1545;1228;177;93
2019-02-28 00:00:00;322;2524;107;433;7514;1730;1291;150;111
